Dependency=Location USAF	Option=Pier & Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
722010	0	0.0	0.0	0.05	0.95
722020	0	0.0	0.0	0.05	0.95
722030	0	0.0	0.0	0.05	0.95
722050	0	0.0	0.0	0.05	0.95
722056	0	0.0	0.0	0.05	0.95
722060	0	0.0	0.0	0.05	0.95
722070	0	0.23	0.16	0.23	0.38
722080	0	0.06	0.03	0.62	0.29
722140	0	0.0	0.0	0.05	0.95
722170	0	0.23	0.16	0.23	0.38
722180	0	0.23	0.16	0.23	0.38
722190	0	0.23	0.16	0.23	0.38
722230	0	0.06	0.05	0.31	0.58
722255	0	0.23	0.16	0.23	0.38
722260	0	0.06	0.05	0.31	0.58
722280	0	0.06	0.05	0.31	0.58
722310	0	0.03	0.01	0.01	0.95
722317	0	0.03	0.01	0.01	0.95
722340	0	0.01	0.01	0.05	0.93
722350	0	0.01	0.01	0.05	0.93
722400	0	0.03	0.01	0.01	0.95
722410	0	0.01	0.01	0.0	0.98
722430	0	0.01	0.01	0.0	0.98
722446	0	0.01	0.01	0.0	0.98
722480	0	0.03	0.01	0.01	0.95
722500	0	0.01	0.01	0.0	0.98
722510	0	0.01	0.01	0.0	0.98
722530	0	0.01	0.01	0.0	0.98
722540	0	0.01	0.01	0.0	0.98
722550	0	0.01	0.01	0.0	0.98
722560	0	0.01	0.01	0.0	0.98
722590	0	0.01	0.01	0.0	0.98
722630	0	0.01	0.01	0.0	0.98
722650	0	0.01	0.01	0.0	0.98
722660	0	0.01	0.01	0.0	0.98
722670	0	0.01	0.01	0.0	0.98
722700	0	0.01	0.01	0.0	0.98
722740	0	0.01	0.01	0.03	0.95
722780	0	0.01	0.01	0.03	0.95
722900	0	0.09	0.03	0.2	0.68
722950	0	0.09	0.03	0.2	0.68
722970	0	0.09	0.03	0.2	0.68
723013	0	0.11	0.06	0.55	0.28
723040	0	0.11	0.06	0.55	0.28
723060	0	0.11	0.06	0.55	0.28
723080	0	0.15	0.32	0.25	0.28
723100	0	0.06	0.03	0.62	0.29
723110	0	0.23	0.16	0.23	0.38
723120	0	0.06	0.03	0.62	0.29
723140	0	0.11	0.06	0.55	0.28
723150	0	0.11	0.06	0.55	0.28
723170	0	0.11	0.06	0.55	0.28
723183	0	0.15	0.13	0.44	0.28
723230	0	0.06	0.05	0.31	0.58
723240	0	0.15	0.13	0.44	0.28
723260	0	0.15	0.13	0.44	0.28
723270	0	0.15	0.13	0.44	0.28
723340	0	0.15	0.13	0.44	0.28
723403	0	0.07	0.03	0.41	0.5
723440	0	0.07	0.03	0.41	0.5
723510	0	0.01	0.01	0.0	0.98
723530	0	0.02	0.01	0.01	0.96
723560	0	0.02	0.01	0.01	0.96
723630	0	0.01	0.01	0.0	0.98
723650	0	0.0	0.02	0.03	0.95
723676	0	0.0	0.02	0.03	0.95
723723	0	0.01	0.01	0.03	0.95
723755	0	0.01	0.01	0.03	0.95
723815	0	0.09	0.03	0.2	0.68
723840	0	0.09	0.03	0.2	0.68
723860	0	0.0	0.01	0.46	0.53
723890	0	0.09	0.03	0.2	0.68
723940	0	0.09	0.03	0.2	0.68
724010	0	0.15	0.32	0.25	0.28
724030	0	0.15	0.32	0.25	0.28
724060	0	0.34	0.57	0.03	0.06
724070	0	0.25	0.15	0.51	0.09
724080	0	0.44	0.48	0.04	0.04
724089	0	0.12	0.19	0.41	0.29
724100	0	0.15	0.32	0.25	0.28
724110	0	0.15	0.32	0.25	0.28
724140	0	0.2	0.33	0.33	0.14
724170	0	0.2	0.33	0.33	0.14
724210	0	0.39	0.32	0.19	0.1
724220	0	0.39	0.32	0.19	0.1
724230	0	0.39	0.32	0.19	0.1
724250	0	0.2	0.33	0.33	0.14
724280	0	0.3	0.46	0.11	0.14
724290	0	0.3	0.46	0.11	0.14
724320	0	0.31	0.48	0.08	0.13
724340	0	0.33	0.6	0.02	0.05
724380	0	0.31	0.48	0.08	0.13
724390	0	0.2	0.59	0.08	0.13
724400	0	0.33	0.6	0.02	0.05
724450	0	0.33	0.6	0.02	0.05
724460	0	0.33	0.6	0.02	0.05
724500	0	0.3	0.66	0.03	0.01
724510	0	0.3	0.66	0.03	0.01
724560	0	0.3	0.66	0.03	0.01
724620	0	0.19	0.61	0.19	0.01
724640	0	0.19	0.61	0.19	0.01
724650	0	0.3	0.66	0.03	0.01
724660	0	0.19	0.61	0.19	0.01
724675	0	0.19	0.61	0.19	0.01
724699	0	0.19	0.61	0.19	0.01
724755	0	0.24	0.71	0.03	0.02
724760	0	0.19	0.61	0.19	0.01
724830	0	0.09	0.03	0.2	0.68
724855	0	0.0	0.01	0.46	0.53
724860	0	0.0	0.01	0.46	0.53
724880	0	0.0	0.01	0.46	0.53
724940	0	0.09	0.03	0.2	0.68
725020	0	0.25	0.15	0.51	0.09
725040	0	0.6	0.36	0.02	0.02
725070	0	0.61	0.36	0.01	0.02
725080	0	0.6	0.36	0.02	0.02
725090	0	0.61	0.33	0.02	0.04
725095	0	0.61	0.33	0.02	0.04
725118	0	0.44	0.48	0.04	0.04
725130	0	0.44	0.48	0.04	0.04
725140	0	0.44	0.48	0.04	0.04
725150	0	0.48	0.33	0.04	0.15
725170	0	0.44	0.48	0.04	0.04
725180	0	0.48	0.33	0.04	0.15
725190	0	0.48	0.33	0.04	0.15
725200	0	0.44	0.48	0.04	0.04
725210	0	0.3	0.46	0.11	0.14
725240	0	0.3	0.46	0.11	0.14
725246	0	0.3	0.46	0.11	0.14
725250	0	0.3	0.46	0.11	0.14
725260	0	0.44	0.48	0.04	0.04
725266	0	0.44	0.48	0.04	0.04
725280	0	0.48	0.33	0.04	0.15
725290	0	0.48	0.33	0.04	0.15
725300	0	0.2	0.59	0.08	0.13
725320	0	0.2	0.59	0.08	0.13
725330	0	0.31	0.48	0.08	0.13
725350	0	0.31	0.48	0.08	0.13
725360	0	0.3	0.46	0.11	0.14
725370	0	0.4	0.56	0.03	0.01
725390	0	0.4	0.56	0.03	0.01
725430	0	0.2	0.59	0.08	0.13
725440	0	0.2	0.59	0.08	0.13
725460	0	0.21	0.72	0.05	0.02
725480	0	0.21	0.72	0.05	0.02
725485	0	0.21	0.72	0.05	0.02
725500	0	0.29	0.65	0.03	0.02
725520	0	0.29	0.65	0.03	0.02
725560	0	0.29	0.65	0.03	0.02
725570	0	0.21	0.72	0.05	0.02
725620	0	0.29	0.65	0.03	0.02
725640	0	0.22	0.68	0.09	0.01
725660	0	0.29	0.65	0.03	0.02
725690	0	0.22	0.68	0.09	0.01
725720	0	0.24	0.71	0.03	0.02
725744	0	0.22	0.68	0.09	0.01
725760	0	0.22	0.68	0.09	0.01
725780	0	0.14	0.44	0.4	0.02
725825	0	0.0	0.01	0.46	0.53
725830	0	0.0	0.01	0.46	0.53
725945	0	0.09	0.03	0.2	0.68
725970	0	0.06	0.17	0.72	0.05
726050	0	0.5	0.3	0.16	0.03
726060	0	0.58	0.35	0.02	0.05
726170	0	0.54	0.32	0.06	0.08
726223	0	0.48	0.33	0.04	0.15
726350	0	0.4	0.56	0.03	0.01
726360	0	0.4	0.56	0.03	0.01
726370	0	0.4	0.56	0.03	0.01
726380	0	0.4	0.56	0.03	0.01
726387	0	0.4	0.56	0.03	0.01
726390	0	0.4	0.56	0.03	0.01
726400	0	0.31	0.59	0.01	0.09
726410	0	0.31	0.59	0.01	0.09
726430	0	0.31	0.59	0.01	0.09
726435	0	0.31	0.59	0.01	0.09
726440	0	0.22	0.76	0.01	0.01
726450	0	0.31	0.59	0.01	0.09
726510	0	0.2	0.69	0.04	0.07
726540	0	0.2	0.69	0.04	0.07
726550	0	0.22	0.76	0.01	0.01
726580	0	0.22	0.76	0.01	0.01
726620	0	0.2	0.69	0.04	0.07
726660	0	0.22	0.68	0.09	0.01
726686	0	0.2	0.69	0.04	0.07
726770	0	0.24	0.74	0.02	0.0
726776	0	0.24	0.74	0.02	0.0
726810	0	0.14	0.44	0.4	0.02
726830	0	0.06	0.17	0.72	0.05
726835	0	0.06	0.17	0.72	0.05
726880	0	0.06	0.17	0.72	0.05
726917	0	0.06	0.17	0.72	0.05
726930	0	0.06	0.17	0.72	0.05
726940	0	0.06	0.17	0.72	0.05
726980	0	0.06	0.17	0.72	0.05
727120	0	0.58	0.35	0.02	0.05
727340	0	0.4	0.56	0.03	0.01
727450	0	0.22	0.76	0.01	0.01
727470	0	0.22	0.76	0.01	0.01
727530	0	0.21	0.73	0.03	0.03
727640	0	0.21	0.73	0.03	0.03
727676	0	0.21	0.73	0.03	0.03
727680	0	0.24	0.74	0.02	0.0
