Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC
1A	Mobile Home	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	2030s	1.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	2030s	0.798586	0.000000	0.034138	0.167276
1A	Mobile Home	None	2030s	0.798586	0.000000	0.034138	0.167276
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2030s	0.989977	0.000000	0.005275	0.004747
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2030s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	None	2030s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Ducted Heating	2030s	0.989977	0.000000	0.005275	0.004747
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2030s	1.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	None	2030s	1.000000	0.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Ducted Heating	2030s	0.988590	0.000000	0.001345	0.010065
1A	Single-Family Attached	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Attached	Non-Ducted Heating	2030s	0.631365	0.000000	0.025167	0.343468
1A	Single-Family Attached	None	2030s	0.631365	0.000000	0.025167	0.343468
1A	Single-Family Detached	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Ducted Heating	2030s	0.988590	0.000000	0.001345	0.010065
1A	Single-Family Detached	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
1A	Single-Family Detached	Non-Ducted Heating	2030s	0.631365	0.000000	0.025167	0.343468
1A	Single-Family Detached	None	2030s	0.631365	0.000000	0.025167	0.343468
2A	Mobile Home	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Ducted Heating	2030s	1.000000	0.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	Non-Ducted Heating	2030s	0.798586	0.000000	0.034138	0.167276
2A	Mobile Home	None	2030s	0.798586	0.000000	0.034138	0.167276
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2030s	0.989977	0.000000	0.005275	0.004747
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2030s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	None	2030s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Ducted Heating	2030s	0.989977	0.000000	0.005275	0.004747
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	Non-Ducted Heating	2030s	1.000000	0.000000	0.000000	0.000000
2A	Multi-Family with 5+ Units	None	2030s	1.000000	0.000000	0.000000	0.000000
2A	Single-Family Attached	Ducted Heat Pump	2030s	0.000000	1.000000	0.000000	0.000000
