Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Has Pool	Option=None	sample_count	sample_weight
Single-Family Detached	CR02	0.051495	0.948505	688.000000	4320619.000000
Single-Family Detached	CR03	0.119015	0.880985	535.000000	3089118.000000
Single-Family Detached	CR04	0.079175	0.920825	666.000000	10702742.000000
Single-Family Detached	CR05	0.025394	0.974606	303.000000	2815783.750000
Single-Family Detached	CR06	0.035908	0.964092	226.000000	2329728.000000
Single-Family Detached	CR07	0.173149	0.826851	654.000000	7763908.500000
Single-Family Detached	CR08	0.080455	0.919545	1306.000000	9230493.000000
Single-Family Detached	CR09	0.114957	0.885043	2178.000000	21322996.000000
Single-Family Detached	CR10	0.192343	0.807657	243.000000	2698771.500000
Single-Family Detached	CR11	0.167064	0.832936	944.000000	7058214.000000
Created by: recs/2009/tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata					
