BA,GEA
p13,AZNMc
p27,AZNMc
p28,AZNMc
p29,AZNMc
p30,AZNMc
p31,AZNMc
p59,AZNMc
p10,CAMXc
p11,CAMXc
p9,CAMXc
p60,ERCTc
p61,ERCTc
p62,ERCTc
p63,ERCTc
p64,ERCTc
p65,ERCTc
p67,ERCTc
p101,FRCCc
p102,FRCCc
p74,MROEc
p75,MROEc
p76,MROEc
p78,MROEc
p35,MROWc
p36,MROWc
p37,MROWc
p38,MROWc
p40,MROWc
p41,MROWc
p42,MROWc
p43,MROWc
p44,MROWc
p45,MROWc
p46,MROWc
p68,MROWc
p69,MROWc
p70,MROWc
p77,MROWc
p129,NEWEc
p130,NEWEc
p131,NEWEc
p132,NEWEc
p133,NEWEc
p134,NEWEc
p1,NWPPc
p12,NWPPc
p14,NWPPc
p15,NWPPc
p16,NWPPc
p17,NWPPc
p18,NWPPc
p19,NWPPc
p2,NWPPc
p20,NWPPc
p21,NWPPc
p25,NWPPc
p26,NWPPc
p3,NWPPc
p4,NWPPc
p5,NWPPc
p6,NWPPc
p7,NWPPc
p8,NWPPc
p127,NYSTc
p128,NYSTc
p119,RFCEc
p122,RFCEc
p123,RFCEc
p124,RFCEc
p125,RFCEc
p126,RFCEc
p103,RFCMc
p104,RFCMc
p105,RFCWc
p106,RFCWc
p107,RFCWc
p110,RFCWc
p111,RFCWc
p112,RFCWc
p113,RFCWc
p114,RFCWc
p115,RFCWc
p116,RFCWc
p117,RFCWc
p118,RFCWc
p120,RFCWc
p121,RFCWc
p79,RFCWc
p80,RFCWc
p22,RMPAc
p23,RMPAc
p24,RMPAc
p32,RMPAc
p33,RMPAc
p34,RMPAc
p39,RMPAc
p52,SPNOc
p53,SPNOc
p54,SPNOc
p55,SPNOc
p47,SPSOc
p48,SPSOc
p49,SPSOc
p50,SPSOc
p51,SPSOc
p56,SPSOc
p57,SPSOc
p58,SRMVc
p66,SRMVc
p85,SRMVc
p86,SRMVc
p87,SRMVc
p71,SRMWc
p72,SRMWc
p73,SRMWc
p81,SRMWc
p82,SRMWc
p83,SRMWc
p84,SRMWc
p89,SRSOc
p90,SRSOc
p91,SRSOc
p94,SRSOc
p108,SRTVc
p109,SRTVc
p88,SRTVc
p92,SRTVc
p93,SRTVc
p100,SRVCc
p95,SRVCc
p96,SRVCc
p97,SRVCc
p98,SRVCc
p99,SRVCc
