Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Ducted Heat Pump	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	source_count	source_weight	sampling_probability
Central AC	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	0	1	12	29446.3	0.000222447
Central AC	Heating Only	1940s	0.0417519	0.217275	0.511035	0.229938	0	0	0	0	0	0	0	0	13	37144.9	0.000265158
Central AC	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	0	1	31	81829	0.000575562
Central AC	None	1940s	0.0184862	0.122528	0.590948	0.268038	0	0	0	0	0	0	0	0	1023	2.01574e+06	0.0222363
Ducted Heat Pump	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	0	1	5	14179.8	0
Ducted Heat Pump	Heating Only	1940s	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ducted Heat Pump	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	0	1	8	13997	0.000199304
Ducted Heat Pump	None	1940s	0	0	0	0	1	0	0	0	0	0	0	0	113	215045	0.00319287
Evaporative or swamp cooler	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	1940s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	None	1940s	0	0	0	0	0	0	1	0	0	0	0	0	16	27379.1	0
Non-Ducted Heat Pump	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	0	1	1	511.543	0
Non-Ducted Heat Pump	Heating Only	1940s	0	0	0	0	0	1	0	0	0	0	0	0	3	5178.62	0
Non-Ducted Heat Pump	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9.49359e-07
Non-Ducted Heat Pump	None	1940s	0	0	0	0	0	1	0	0	0	0	0	0	59	90536.6	0.000566749
None	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1940s	0	0	0	0	0	0	1	0	0	0	0	0	64	167111	0.00112148
None	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1940s	0	0	0	0	0	0	1	0	0	0	0	0	369	790712	0.00573004
Room AC	Cooling Only	1940s	0	0	0	0	0	0	0	0	0	0	0	1	3	6056.01	4.95842e-05
Room AC	Heating Only	1940s	0	0	0	0	0	0	0	0.0189786	0.100978	0.491527	0.388516	0	181	510669	0.00341429
Room AC	Heating and Cooling	1940s	0	0	0	0	0	0	0	0	0	0	0	1	9	29511.1	0.00019676
Room AC	None	1940s	0	0	0	0	0	0	0	0.0201056	0.124702	0.480249	0.374943	0	783	1.6037e+06	0.0117747
Central AC	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	0	1	2	18683.4	0.000259678
Central AC	Heating Only	1950s	0	0.11061	0.688347	0.201043	0	0	0	0	0	0	0	0	3	31051.2	0.000477023
Central AC	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	0	1	14	139779	0.00142316
Central AC	None	1950s	0.0172044	0.116199	0.597771	0.268826	0	0	0	0	0	0	0	0	853	6.34532e+06	0.052243
Ducted Heat Pump	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	0	1	2	18928.5	0
Ducted Heat Pump	Heating Only	1950s	0	0	0	0	1	0	0	0	0	0	0	0	1	13051.1	0
Ducted Heat Pump	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	0	1	2	12508	0.000310361
Ducted Heat Pump	None	1950s	0	0	0	0	1	0	0	0	0	0	0	0	101	829918	0.00762558
Evaporative or swamp cooler	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	1950s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	0	1	1	10605	0
Evaporative or swamp cooler	None	1950s	0	0	0	0	0	0	1	0	0	0	0	0	26	168413	0
Non-Ducted Heat Pump	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	1950s	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	0	1	1	1774.41	0
Non-Ducted Heat Pump	None	1950s	0	0	0	0	0	1	0	0	0	0	0	0	33	182079	0.000630579
None	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1950s	0	0	0	0	0	0	1	0	0	0	0	0	18	197879	0.00194001
None	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1950s	0	0	0	0	0	0	1	0	0	0	0	0	174	1.28076e+06	0.0112905
Room AC	Cooling Only	1950s	0	0	0	0	0	0	0	0	0	0	0	1	3	35315.7	0.000248224
Room AC	Heating Only	1950s	0	0	0	0	0	0	0	0.0157801	0.128086	0.511937	0.344197	0	70	618191	0.00537524
Room AC	Heating and Cooling	1950s	0	0	0	0	0	0	0	0	0	0	0	1	9	105776	0.000917061
Room AC	None	1950s	0	0	0	0	0	0	0	0.0175913	0.116443	0.485482	0.380483	0	333	2.41759e+06	0.0213035
Central AC	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	0	1	8	94126.5	0.000916154
Central AC	Heating Only	1960s	0.014416	0.13041	0.626293	0.228881	0	0	0	0	0	0	0	0	10	108689	0.000954003
Central AC	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	0	1	45	390783	0.00371861
Central AC	None	1960s	0.0200862	0.126579	0.582686	0.270648	0	0	0	0	0	0	0	0	908	6.12487e+06	0.0526607
Ducted Heat Pump	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	0	1	7	75446	0
Ducted Heat Pump	Heating Only	1960s	0	0	0	0	1	0	0	0	0	0	0	0	2	25890.8	0
Ducted Heat Pump	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	0	1	3	40930.1	0.000856346
Ducted Heat Pump	None	1960s	0	0	0	0	1	0	0	0	0	0	0	0	157	1.0686e+06	0.0122567
Evaporative or swamp cooler	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Evaporative or swamp cooler	Heating Only	1960s	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Evaporative or swamp cooler	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	0	1	2	12635.1	0
Evaporative or swamp cooler	None	1960s	0	0	0	0	0	0	1	0	0	0	0	0	19	74699	0
Non-Ducted Heat Pump	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	1960s	0	0	0	0	0	1	0	0	0	0	0	0	1	10885.1	0
Non-Ducted Heat Pump	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	0	1	1	5015.29	0
Non-Ducted Heat Pump	None	1960s	0	0	0	0	0	1	0	0	0	0	0	0	24	133007	0.000758335
None	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1960s	0	0	0	0	0	0	1	0	0	0	0	0	28	246502	0.00182108
None	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1960s	0	0	0	0	0	0	1	0	0	0	0	0	193	1.32761e+06	0.00992756
Room AC	Cooling Only	1960s	0	0	0	0	0	0	0	0	0	0	0	1	3	41997.4	0.000412907
Room AC	Heating Only	1960s	0	0	0	0	0	0	0	0.053631	0.12808	0.468734	0.349555	0	81	721682	0.00579304
Room AC	Heating and Cooling	1960s	0	0	0	0	0	0	0	0	0	0	0	1	12	102278	0.000836913
Room AC	None	1960s	0	0	0	0	0	0	0	0.0233592	0.138122	0.490158	0.348361	0	300	2.05175e+06	0.0156253
Central AC	Cooling Only	1970s	0	0	0	0	0	0	0	0	0	0	0	1	20	220796	0.00149596
