Dependency=Area Median Income	Dependency=County Metro Status	Dependency=State	Option=0-30%	Option=30-60%	Option=60-80%	Option=80-100%	Option=100-120%	Option=120-150%	Option=150%+	Option=Not Available	source_count	source_weight	sampling_probability
0-30%	Metro	AK	0.916795	0.0832048	0	0	0	0	0	0	259	12968	0.000175354
100-120%	Metro	AK	0	0	0	0	0.704743	0.295257	0	0	236	9551	0.000128211
120-150%	Metro	AK	0	0	0	0	0	0.764649	0.235351	0	282	12441	0.000150421
150%+	Metro	AK	0	0	0	0	0	0	1	0	697	28799	0.000357822
30-60%	Metro	AK	0	0.993751	0.00624912	0	0	0	0	0	318	14242	0.000206375
60-80%	Metro	AK	0	0	1	0	0	0	0	0	239	11202	0.00014613
80-100%	Metro	AK	0	0	0.135921	0.739331	0.124748	0	0	0	379	17363	0.000193771
Not Available	Metro	AK	0	0	0	0	0	0	0	1	147	10814	0.000261002
0-30%	Nonmetro	AK	0.797971	0.202029	0	0	0	0	0	0	1659	21690	7.68958e-05
100-120%	Nonmetro	AK	0	0	0	0	0.454167	0.545833	0	0	823	13942	4.48051e-05
120-150%	Nonmetro	AK	0	0	0	0	0	0.518583	0.481417	0	925	17758	5.45366e-05
150%+	Nonmetro	AK	0	0	0	0	0	0	1	0	1876	35046	0.0001117
30-60%	Nonmetro	AK	0	0.788019	0.211981	0	0	0	0	0	1594	24455	8.5074e-05
60-80%	Nonmetro	AK	0	0	0.696226	0.303774	0	0	0	0	1025	16960	5.69825e-05
80-100%	Nonmetro	AK	0	0	0	0.584096	0.415904	0	0	0	938	16927	5.49191e-05
Not Available	Nonmetro	AK	0	0	0	0	0	0	0	1	4358	52743	0.000202296
0-30%	Metro	AL	0.864653	0.135347	0	0	0	0	0	0	8231	196317	0.00198665
100-120%	Metro	AL	0	0	0	0.204351	0.45479	0.340859	0	0	4798	104756	0.001009
120-150%	Metro	AL	0	0	0	0.0010313	0.173766	0.518629	0.306573	0	5939	129933	0.00124486
150%+	Metro	AL	0	0	0	0	0	0.0622093	0.937791	0	16278	344643	0.00328541
30-60%	Metro	AL	0.0169038	0.848195	0.134901	0	0	0	0	0	8979	203564	0.00186229
60-80%	Metro	AL	0	0.130253	0.616544	0.253203	0	0	0	0	5707	128312	0.00128425
80-100%	Metro	AL	0	0	0.163336	0.51703	0.295343	0.0242922	0	0	5439	119380	0.00119853
Not Available	Metro	AL	0	0	0	0	0	0	0	1	6174	217265	0.00229902
0-30%	Nonmetro	AL	0.689562	0.310438	0	0	0	0	0	0	7301	119808	0.000373335
100-120%	Nonmetro	AL	0	0	0	0	0.614365	0.385635	0	0	3681	52516	0.000141818
120-150%	Nonmetro	AL	0	0	0	0	0	0.688262	0.311738	0	4608	65677	0.000180812
150%+	Nonmetro	AL	0	0	0	0	0	0	1	0	13259	181546	0.000477011
30-60%	Nonmetro	AL	0	0.844594	0.155406	0	0	0	0	0	6219	90376	0.000251445
60-80%	Nonmetro	AL	0	0	0.751035	0.248965	0	0	0	0	4756	69801	0.000180998
80-100%	Nonmetro	AL	0	0	0	0.659006	0.340994	0	0	0	4125	61265	0.000175205
Not Available	Nonmetro	AL	0	0	0	0	0	0	0	1	7172	169867	0.000530157
0-30%	Metro	AR	0.825922	0.174078	0	0	0	0	0	0	2938	74633	0.00111505
100-120%	Metro	AR	0	0	0	0.127477	0.519125	0.353399	0	0	2129	47844	0.000587853
