Dependency=Refrigerator	Option=National Average	Option=None	sampling_probability
EF 6.7	1.000000	0.000000	0.031125
EF 10.2	1.000000	0.000000	0.004915
EF 10.5	1.000000	0.000000	0.036603
EF 15.9	1.000000	0.000000	0.184373
EF 17.6	1.000000	0.000000	0.623753
EF 19.9	1.000000	0.000000	0.117559
None	0.000000	1.000000	0.001688
# Source: National Average Schedule - R. Pratt et al. (1989). Description of Electric Energy Use in Single-Family Residences in the Pacific Northwest - End-Use Load and Consumer Assesment Program, Richland, WA: Pacific Northwest National Laboratory, DOE/BP-13795-21.
