Dependency=Income	Option=<20000	Option=20000-39999	Option=40000-59999	Option=60000-79999	Option=80000-99999	Option=100000-119999	Option=120000-139999	Option=140000+	Option=Not Available	source_count	source_weight	sampling_probability
10000-14999	1	0	0	0	0	0	0	0	0	258222	5.18345e+06	0.0379308
100000-119999	0	0	0	0	0	1	0	0	0	478451	9.10618e+06	0.0660202
120000-139999	0	0	0	0	0	0	1	0	0	342043	6.51148e+06	0.0470859
140000-159999	0	0	0	0	0	0	0	1	0	248183	4.70566e+06	0.0339467
15000-19999	1	0	0	0	0	0	0	0	0	265775	5.27665e+06	0.0385917
160000-179999	0	0	0	0	0	0	0	1	0	180825	3.42088e+06	0.0246227
180000-199999	0	0	0	0	0	0	0	1	0	129634	2.43819e+06	0.0175352
20000-24999	0	1	0	0	0	0	0	0	0	275798	5.50208e+06	0.0402174
200000+	0	0	0	0	0	0	0	1	0	527412	9.57378e+06	0.0688953
25000-29999	0	1	0	0	0	0	0	0	0	265835	5.25968e+06	0.0384524
30000-34999	0	1	0	0	0	0	0	0	0	276921	5.50259e+06	0.0402473
35000-39999	0	1	0	0	0	0	0	0	0	259441	5.09024e+06	0.0371867
40000-44999	0	0	1	0	0	0	0	0	0	260890	5.12572e+06	0.0374464
45000-49999	0	0	1	0	0	0	0	0	0	240886	4.68262e+06	0.034217
50000-59999	0	0	1	0	0	0	0	0	0	468284	9.05723e+06	0.0661213
60000-69999	0	0	0	1	0	0	0	0	0	419919	8.08068e+06	0.0588981
70000-79999	0	0	0	1	0	0	0	0	0	371967	7.13709e+06	0.0520084
80000-99999	0	0	0	0	1	0	0	0	0	615610	1.17525e+07	0.0854268
<10000	1	0	0	0	0	0	0	0	0	350841	7.3493e+06	0.0536329
Not Available	0	0	0	0	0	0	0	0	1	624317	1.6673e+07	0.121517
# Created by: sources\pums\pums2019_5yrs\tsv_maker.py
# Description: Income of the household occupying the dwelling unit that are aligned with the 2015 U.S. Energy Information Administration Residential Energy Consumption Survey.
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: Income bins aligned with RECS 2015
