Dependency=PUMA	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
AL, 00100	0.0242702	0.0320021	0.0491669	0.0180823	0.011156	0.0117602	0.114134	0.00519196	0.734237	4352	89369	0.000660049
AL, 00200	0.0121372	0.00994215	0.0223763	0.0159849	0.00448043	0.00433839	0.112075	0.0118402	0.806825	2894	77448	0.000557282
AL, 00301	0.0166615	0.041757	0.0797962	0.0913801	0.0379703	0.0314297	0.0177115	0.0202761	0.663018	2239	58098	0.000413622
AL, 00302	0.0317896	0.0645891	0.0921576	0.057601	0.0337891	0.0410195	0.0180559	0.0218327	0.639165	2524	49513	0.000371112
AL, 00400	0.024472	0.0188287	0.0204259	0.0079858	0.00134871	0.0018811	0.220639	0.008252	0.696167	3438	56350	0.000419177
AL, 00500	0.0213838	0.0202742	0.0252205	0.00769216	0.00522841	0.00509676	0.130936	0.00769216	0.776476	4370	53171	0.000388835
AL, 00600	0.0136163	0.0313753	0.0329195	0.0179075	0.016586	0.0120868	0.141879	0.0228967	0.710733	3176	67346	0.00050072
AL, 00700	0.013997	0.0175691	0.0226359	0.0115898	0.00615403	0.00231019	0.240667	0.00652288	0.678554	2733	51511	0.000379489
AL, 00800	0.0168272	0.00976272	0.0220929	0.0066393	0.00266553	0.00137365	0.253226	0.0123301	0.675083	2717	61151	0.000448099
AL, 00900	0.0165185	0.032492	0.0312972	0.0137515	0.00758846	0.00859467	0.112611	0.00763039	0.769516	2360	47704	0.000356593
AL, 01000	0.0255301	0.0206411	0.0192691	0.00833125	0.00657271	0.00309304	0.261387	0.00456473	0.650611	3687	80180	0.000591731
AL, 01100	0.0193172	0.0236803	0.0400515	0.0168186	0.00978911	0.00732785	0.158826	0.0154761	0.708713	2335	53631	0.000400297
AL, 01200	0.00498919	0.0138295	0.0285097	0.0395227	0.0237849	0.0134156	0.0794477	0.0522486	0.744252	4136	86988	0.000627718
AL, 01301	0.0268828	0.0470301	0.0732827	0.0508508	0.0330471	0.0226288	0.0172129	0.0105956	0.718469	2089	50776	0.000384587
AL, 01302	0.0173293	0.0613511	0.103123	0.0898401	0.065071	0.0710047	0.010198	0.0160772	0.566006	2284	55109	0.000411197
AL, 01303	0.0093516	0.0404848	0.0743213	0.10376	0.0689017	0.0617102	0.0105286	0.0464993	0.584442	3206	77313	0.0005687
AL, 01304	0.0140342	0.0237977	0.0522421	0.0369187	0.0103947	0.00703724	0.0555593	0.0177408	0.782275	3161	74461	0.000564542
AL, 01305	0.0191214	0.00884214	0.0258677	0.0248698	0.0145905	0.010878	0.0474841	0.0140915	0.834255	2197	50101	0.000362456
AL, 01400	0.0313652	0.0253712	0.0268697	0.00502945	0.00370319	0.00182576	0.238796	0.0076992	0.659341	3080	58058	0.000433424
AL, 01500	0.012001	0.0051302	0.00838238	0.0102146	0.00267961	0.00267961	0.217346	0.00327508	0.738291	2250	43663	0.000321088
AL, 01600	0.0351085	0.0549733	0.0974647	0.128466	0.0822209	0.0529372	0.0363479	0.0200772	0.492405	2192	56482	0.000409846
AL, 01700	0.0282793	0.0423958	0.0277209	0.00702718	0.00769422	0.00795793	0.283817	0.00570861	0.589399	3223	64464	0.000476917
AL, 01800	0.0239909	0.0160547	0.0219232	0.0145344	0.00538198	0.0141999	0.238738	0.0120563	0.65312	3036	65775	0.000485498
AL, 01900	0.0452937	0.0272864	0.0501798	0.0618657	0.0364206	0.0334919	0.159586	0.0294902	0.556385	2305	68972	0.000493191
AL, 02000	0.0168079	0.0500817	0.101951	0.0501368	0.0227343	0.0256257	0.0236944	0.0304595	0.678508	3867	90612	0.00066977
AL, 02100	0.00810737	0.0195798	0.0250367	0.015838	0.0063014	0.00222173	0.193563	0.00990035	0.719451	3356	76967	0.000566524
AL, 02200	0.0119586	0.0258122	0.0242761	0.0026128	0.00470879	0.0026128	0.271301	0.00595776	0.65076	3896	69657	0.000514758
