Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	"Option=2A - FL, GA, AL, MS Average"	"Option=2A - TX, LA Average"	Option=1A Average	Option=2B Average	Option=3A Average	Option=3B Average	Option=3C Average	Option=4A Average	Option=4B Average	Option=4C Average	Option=5A Average	Option=5B Average	Option=6A Average	Option=6B Average	Option=7A Average	Option=7AK Average	Option=7B Average	Option=8AK Average	sampling_probability
"2A - FL, GA, AL, MS"	1.3	0.57	1.14	1.37	0.53	0.62	0.9	1.45	0.74	1.37	1.07	0.5	0.93	1.08	0.85	1.24	0.5	0.85	0.055555556
"2A - TX, LA"	1.28	0.62	0.7	0.59	1.37	0.75	0.81	0.7	1.13	1.36	1.08	0.73	0.57	1.09	0.55	0.61	1.4	1.19	0.055555556
1A	1.24	1.32	0.56	1.17	1.39	1.42	0.76	0.86	0.62	0.52	1.26	0.96	1.15	0.95	0.59	0.73	0.97	1.31	0.055555556
2B	1.48	1.07	0.88	0.68	1.5	0.85	1.09	0.54	0.52	0.55	0.62	1.04	1.04	0.6	0.92	1.04	0.91	0.88	0.055555556
3A	1.34	0.68	1.27	1	1.33	1.35	1.27	1.03	0.96	0.61	1.17	1.31	0.56	1.18	1.38	1.04	1.17	0.64	0.055555556
3B	1.48	1.48	1.41	1.16	0.8	0.68	1.14	1.27	0.88	1.2	0.64	0.77	1.27	0.7	1.27	0.6	1.27	0.61	0.055555556
3C	0.75	0.56	1.44	0.75	0.68	1.02	1.15	1.08	1.32	0.83	1.24	1	1.19	1.16	1.33	1.36	1.44	0.59	0.055555556
4A	0.68	0.74	0.71	1.12	0.67	1.06	0.54	0.92	0.94	1.1	1.48	1.04	0.88	0.95	1.47	1.39	1.04	1.16	0.055555556
4B	0.95	1.43	0.79	0.67	0.52	0.56	0.81	1.17	1.03	0.66	1.47	1.46	1.44	0.64	0.64	0.53	1.02	0.63	0.055555556
4C	1.4	1.06	0.68	1.06	0.85	1.09	0.74	1.33	0.55	1.24	0.53	0.62	0.95	0.88	0.54	0.66	0.68	0.65	0.055555556
5A	0.59	1.43	0.95	0.54	1.23	0.97	0.92	1.23	1.31	1.07	0.97	0.81	1.46	0.62	1.26	1.05	1.29	1.48	0.055555556
5B	0.62	0.81	1.26	0.51	1.29	1.46	1.22	0.97	1.43	0.8	0.76	1.33	1.49	0.51	1.12	0.85	1.48	0.5	0.055555556
6A	1.3	1.14	0.55	0.7	0.51	1.37	0.66	1.16	0.75	0.89	0.79	0.67	0.58	1.34	1.33	1.4	1.33	0.7	0.055555556
6B	1.12	0.67	1.22	0.93	0.7	1.2	1.14	0.64	0.93	1.26	0.8	1.42	1.41	1.24	0.98	0.71	0.64	1.15	0.055555556
7A	1.27	1.01	0.75	0.79	0.94	1.41	1.35	0.86	0.63	1.29	0.9	0.66	1.4	0.52	0.71	1.28	1.32	1.28	0.055555556
7AK	1.33	1.26	0.7	1.16	1.21	1.13	0.71	1.41	0.74	0.54	1.06	1.09	1.1	0.93	0.97	1.46	0.82	0.93	0.055555556
7B	1.28	0.73	0.99	1.29	0.96	0.97	0.84	1.3	0.92	1.12	1.26	1.3	1.26	0.51	1.14	0.78	1.25	0.94	0.055555556
8AK	1.44	1.11	1.06	0.55	0.96	1.07	0.79	0.95	1.09	0.59	1.47	0.92	0.56	0.74	1.24	1.02	1.08	1.21	0.055555556
