Dependency=Insulation Foundation Wall	Option=None	Option=Uninsulated	Option=R-5, Exterior	Option=R-10, Exterior	Option=R-15, Exterior	sampling_probability
None	1	0	0	0	0	0.477291
Uninsulated	0	1	0	0	0	0.478511
Wall R-5, Exterior	0	0	1	0	0	0.0113178
Wall R-10, Exterior	0	0	0	1	0	0.0251447
Wall R-15, Exterior	0	0	0	0	1	0.00778849
