Dependency=Heating Fuel	Dependency=Misc Pool	Option=Electricity	Option=Natural Gas	Option=None	Option=Other Fuel	source_count	source_weight	sampling_probability
Electricity	Has Pool	0.151071	0.071732	0.688032	0.0891646	482	3.51737e+06	0.0290187
Fuel Oil	Has Pool	0.0787279	0	0.745948	0.175324	105	426357	0.00404776
Natural Gas	Has Pool	0.0498554	0.284213	0.613204	0.0527268	548	3.61535e+06	0.0316916
None	Has Pool	0.171699	0.105434	0.61558	0.107288	57	416626	0.000543218
Other Fuel	Has Pool	0	0	0.899343	0.100657	26	154083	0.00218328
Propane	Has Pool	0.0773624	0	0.727436	0.195202	62	390982	0.00376993
Electricity	None	0	0	1	0	6187	4.53688e+07	0.365193
Fuel Oil	None	0	0	1	0	995	4.53415e+06	0.0444646
Natural Gas	None	0	0	1	0	8067	5.263e+07	0.43683
None	None	0	0	1	0	734	5.68117e+06	0.0108164
Other Fuel	None	0	0	1	0	399	2.13277e+06	0.0249171
Propane	None	0	0	1	0	834	4.66134e+06	0.0465242
# Created by: sources\recs\recs2020\tsv_maker.py
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
