Dependency=Misc Pool	Option=None	Option=1.0 HP Pump	sampling_probability
None	1	0	0.930358
Has Pool	0	1	0.0696418
# Source: Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation
