Dependency=Income	Dependency=Occupants	Option=0-100%	Option=100-150%	Option=150-200%	Option=200-300%	Option=300-400%	Option=400%+	Option=None	source_count	source_weight	sampling_probability
10000-14999	1	0.524434	0.475566	0	0	0	0	0	170203	3.30195e+06	0.0212142
10000-14999	10	1	0	0	0	0	0	0	70	1406	1.78646e-05
10000-14999	2	1	0	0	0	0	0	0	50718	1.01309e+06	0.00844299
10000-14999	3	1	0	0	0	0	0	0	17850	407942	0.0038302
10000-14999	4	1	0	0	0	0	0	0	10462	250311	0.00249246
10000-14999	5	1	0	0	0	0	0	0	4956	117625	0.00123235
10000-14999	6	1	0	0	0	0	0	0	1956	47753	0.000504857
10000-14999	7	1	0	0	0	0	0	0	621	14986	0.000183796
10000-14999	8	1	0	0	0	0	0	0	254	5821	6.72352e-05
10000-14999	9	1	0	0	0	0	0	0	97	2144	2.6554e-05
10000-14999	None	0	0	0	0	0	0	1	0	0	0
100000-119999	1	0	0	0	0	0	1	0	52798	1.05344e+06	0.00830475
100000-119999	10	0	0	0.251484	0.748516	0	0	0	871	17178	0.000128688
100000-119999	2	0	0	0	0	0	1	0	194086	3.45373e+06	0.025583
100000-119999	3	0	0	0	0	0	1	0	93358	1.7966e+06	0.0128098
100000-119999	4	0	0	0	0	0.161823	0.838177	0	79332	1.58672e+06	0.0111137
100000-119999	5	0	0	0	0	1	0	0	34358	703116	0.00493215
100000-119999	6	0	0	0	0.220755	0.779245	0	0	12879	270916	0.00192826
100000-119999	7	0	0	0	0.871553	0.128447	0	0	4785	100298	0.000721459
100000-119999	8	0	0	0	1	0	0	0	1959	41548	0.000302867
100000-119999	9	0	0	0	1	0	0	0	864	17784	0.000133687
100000-119999	None	0	0	0	0	0	0	1	0	0	0
120000-139999	1	0	0	0	0	0	1	0	29889	591519	0.00481801
120000-139999	10	0	0	0	1	0	0	0	747	14699	0.000100891
120000-139999	2	0	0	0	0	0	1	0	134127	2.39583e+06	0.018066
120000-139999	3	0	0	0	0	0	1	0	69556	1.32586e+06	0.00947922
120000-139999	4	0	0	0	0	0	1	0	62697	1.25533e+06	0.00861985
120000-139999	5	0	0	0	0	0.0308386	0.969161	0	26633	544902	0.00366529
120000-139999	6	0	0	0	0	0.927816	0.0721841	0	10063	211016	0.00142799
120000-139999	7	0	0	0	0	1	0	0	3636	74512	0.000507704
120000-139999	8	0	0	0	0.548555	0.451445	0	0	1485	31047	0.000209568
