Dependency=Water Heater Efficiency	Option=Tank	Option=Tankless	Option=Heat Pump	sampling_probability
Electric Standard	1.000000	0.000000	0.000000	0.000000
Electric Premium	1.000000	0.000000	0.000000	0.000000
Natural Gas Standard	1.000000	0.000000	0.000000	0.000000
Natural Gas Premium	1.000000	0.000000	0.000000	0.000000
Fuel Oil Standard	1.000000	0.000000	0.000000	0.000000
Fuel Oil Premium	1.000000	0.000000	0.000000	0.000000
FIXME Fuel Oil Indirect	1.000000	0.000000	0.000000	0.000000
Propane Standard	1.000000	0.000000	0.000000	0.000000
Propane Premium	1.000000	0.000000	0.000000	0.000000
Other Fuel	1.000000	0.000000	0.000000	0.000000
Natural Gas Tankless	0.000000	1.000000	0.000000	0.000000
Electric Tankless	0.000000	1.000000	0.000000	0.000000
Propane Tankless	0.000000	1.000000	0.000000	0.000000
"Electric Heat Pump, 80 gal"	0.000000	0.000000	1.000000	0.000000
"Electric Heat Pump, 50 gal, 3.45 UEF"	0.000000	0.000000	1.000000	0.000000
"Electric Heat Pump, 66 gal, 3.35 UEF"	0.000000	0.000000	1.000000	0.000000
"Electric Heat Pump, 80 gal, 3.45 UEF"	0.000000	0.000000	1.000000	0.000000
