Dependency=Has PV	Dependency=State	Option=1.0 kWDC	Option=3.0 kWDC	Option=5.0 kWDC	Option=7.0 kWDC	Option=9.0 kWDC	Option=11.0 kWDC	Option=13.0 kWDC	Option=None	source_count	source_weight	sampling_probability
No	AL	0	0	0	0	0	0	0	1	3.22761e+06	3.22761e+06	0.0164233
Yes	AL	0.03016	0.125926	0.263615	0.279158	0.171321	0.092448	0.037373	0	25928	25928	0.000161326
No	AR	0	0	0	0	0	0	0	1	42760.3	42760.3	0.00997135
Yes	AR	0.123077	0.353846	0.292308	0.107692	0.030769	0.046154	0.046154	0	65	65	9.79484e-05
No	AZ	0	0	0	0	0	0	0	1	2.59004e+06	2.59004e+06	0.0216581
Yes	AZ	0.016124	0.10871	0.24105	0.255495	0.202595	0.116799	0.059229	0	147733	147733	0.000212747
No	CA	0	0	0	0	0	0	0	1	1.14992e+07	1.14992e+07	0.103414
Yes	CA	0.031638	0.252867	0.320916	0.210863	0.112886	0.050131	0.0207	0	991809	991809	0.00101584
No	CO	0	0	0	0	0	0	0	1	1.73242e+06	1.73242e+06	0.0169847
Yes	CO	0.032996	0.239518	0.351594	0.212302	0.130632	0.022945	0.010013	0	51733	51733	0.000166841
No	CT	0	0	0	0	0	0	0	1	1.17852e+06	1.17852e+06	0.0111043
Yes	CT	0.002715	0.082005	0.256987	0.278764	0.205809	0.124763	0.048956	0	36461	36461	0.000109077
No	DC	0	0	0	0	0	0	0	1	304397	304397	0.00227997
Yes	DC	0.017949	0.349643	0.343988	0.169412	0.085321	0.02508	0.008606	0	4067	4067	2.23961e-05
No	DE	0	0	0	0	0	0	0	1	230082	230082	0.0031067
Yes	DE	0.027343	0.151809	0.331529	0.233267	0.147536	0.072914	0.035602	0	3511	3511	3.05171e-05
No	FL	0	0	0	0	0	0	0	1	464637	464637	0.0680382
Yes	FL	0.027608	0.109852	0.377507	0.167393	0.157512	0.131938	0.028189	0	3441	3441	0.000668338
No	GA	0	0	0	0	0	0	0	1	4.21541e+06	4.21541e+06	0.0308978
Yes	GA	0.032647	0.162074	0.274556	0.194523	0.17373	0.11814	0.044331	0	35348	35348	0.000303509
No	IA	0	0	0	0	0	0	0	1	3.2615e+06	3.2615e+06	0.0101292
Yes	IA	0.04643	0.129551	0.209992	0.215213	0.243014	0.097375	0.058425	0	7086	7086	9.94985e-05
No	ID	0	0	0	0	0	0	0	1	5.66102e+06	5.66102e+06	0.00509954
Yes	ID	0.021823	0.155013	0.281806	0.24118	0.173126	0.08553	0.04152	0	244966	244966	5.00927e-05
No	IL	0	0	0	0	0	0	0	1	1.41729e+06	1.41729e+06	0.0394748
Yes	IL	0.001698	0.062407	0.224581	0.263001	0.238378	0.144343	0.065591	0	4711	4711	0.000387761
No	IN	0	0	0	0	0	0	0	1	4.25968e+06	4.25968e+06	0.021042
Yes	IN	0.035054	0.156353	0.2647	0.21618	0.175781	0.104749	0.047183	0	9728	9728	0.000206696
No	KS	0	0	0	0	0	0	0	1	1.29865e+06	1.29865e+06	0.00928658
Yes	KS	0.043103	0.138889	0.225096	0.195402	0.214559	0.133142	0.049808	0	1044	1044	9.12219e-05
No	KY	0	0	0	0	0	0	0	1	3.22761e+06	3.22761e+06	0.0145037
Yes	KY	0.03016	0.125926	0.263615	0.279158	0.171321	0.092448	0.037373	0	25928	25928	0.000142469
No	LA	0	0	0	0	0	0	0	1	3.22761e+06	3.22761e+06	0.0149541
Yes	LA	0.03016	0.125926	0.263615	0.279158	0.171321	0.092448	0.037373	0	25928	25928	0.000146894
No	MA	0	0	0	0	0	0	0	1	2.45752e+06	2.45752e+06	0.0210865
Yes	MA	0.006656	0.133826	0.279729	0.242751	0.179127	0.106249	0.051662	0	88189	88189	0.000207133
No	MD	0	0	0	0	0	0	0	1	519245	519245	0.0180035
Yes	MD	0.045354	0.150007	0.223595	0.214069	0.181002	0.122325	0.063648	0	14486	14486	0.000176848
No	ME	0	0	0	0	0	0	0	1	4.4001e+06	4.4001e+06	0.00540517
Yes	ME	0.007259	0.127946	0.280814	0.24954	0.183591	0.104235	0.046615	0	141200	141200	5.30949e-05
No	MI	0	0	0	0	0	0	0	1	4.25968e+06	4.25968e+06	0.033785
Yes	MI	0.035054	0.156353	0.2647	0.21618	0.175781	0.104749	0.047183	0	9728	9728	0.00033187
No	MN	0	0	0	0	0	0	0	1	589706	589706	0.0177132
Yes	MN	0.05969	0.193798	0.254264	0.17907	0.310853	0.002326	0	0	1290	1290	0.000173996
No	MO	0	0	0	0	0	0	0	1	1.37314e+06	1.37314e+06	0.020359
Yes	MO	0.043561	0.110059	0.194655	0.229377	0.23085	0.11532	0.076178	0	4752	4752	0.000199986
No	MS	0	0	0	0	0	0	0	1	3.22761e+06	3.22761e+06	0.00962828
Yes	MS	0.03016	0.125926	0.263615	0.279158	0.171321	0.092448	0.037373	0	25928	25928	9.45785e-05
No	MT	0	0	0	0	0	0	0	1	5.66102e+06	5.66102e+06	0.00365316
Yes	MT	0.021823	0.155013	0.281806	0.24118	0.173126	0.08553	0.04152	0	244966	244966	3.58849e-05
No	NC	0	0	0	0	0	0	0	1	4.21541e+06	4.21541e+06	0.0331075
Yes	NC	0.032647	0.162074	0.274556	0.194523	0.17373	0.11814	0.044331	0	35348	35348	0.000325215
No	ND	0	0	0	0	0	0	0	1	3.2615e+06	3.2615e+06	0.00260276
Yes	ND	0.04643	0.129551	0.209992	0.215213	0.243014	0.097375	0.058425	0	7086	7086	2.55668e-05
No	NE	0	0	0	0	0	0	0	1	3.2615e+06	3.2615e+06	0.00605842
Yes	NE	0.04643	0.129551	0.209992	0.215213	0.243014	0.097375	0.058425	0	7086	7086	5.95118e-05
No	NH	0	0	0	0	0	0	0	1	361827	361827	0.00461424
Yes	NH	0.013287	0.115225	0.277064	0.244173	0.286648	0.044653	0.01895	0	4591	4591	4.53256e-05
No	NJ	0	0	0	0	0	0	0	1	3.32153e+06	3.32153e+06	0.0266602
Yes	NJ	0.003394	0.094448	0.237425	0.25783	0.215967	0.125378	0.065557	0	105465	105465	0.000261883
No	NM	0	0	0	0	0	0	0	1	712698	712698	0.00678275
