Dependency=Geometry Building Type RECS	Option=EF 6.7	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 19.9	Option=None	sample_count	sample_weight	resstock_probability
Mobile Home	0.005345	0.0009029999999999999	0.003979	0.026358	0.045026	0.004034	0.9143549999999999	533.0	6842068.0	0.061150872212010446
Multi-Family with 2 - 4 Units	0.002677	0.000391	0.003944	0.018584	0.032607	0.003038	0.938759	921.0	8975958.0	0.07912596122242517
Multi-Family with 5+ Units	0.000268	4.5e-05	0.000839	0.003599	0.020444999999999998	0.002291	0.972513	1900.0	18886024.0	0.1727511747165165
Single-Family Attached	0.011469	0.001771	0.013461	0.041609	0.07804900000000001	0.004957	0.848683	887.0	6698326.5	0.05812781529324905
Single-Family Detached	0.033185	0.0053289999999999995	0.028505000000000006	0.08204199999999999	0.15778	0.017258000000000003	0.675901	7743.0	71332376.0	0.6288490082002071
