Dependency=CEC Climate Zone	Dependency=County	Option=North-Central	Option=Northern	Option=South-Central	Option=Southern	Option=Void	source_count	source_weight	sampling_probability
1	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
10	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
11	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
12	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
13	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
14	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
15	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
16	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
2	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
3	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
4	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
5	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
6	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
7	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
8	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
9	AK, Aleutians East Borough	0	0	0	0	1	1	1	0
None	AK, Aleutians East Borough	0	1	0	0	0	1	1	7.49692e-06
1	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
10	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
11	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
12	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
13	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
14	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
15	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
16	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
2	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
3	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
4	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
5	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
6	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
7	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
8	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
9	AK, Aleutians West Census Area	0	0	0	0	1	1	1	0
None	AK, Aleutians West Census Area	0	1	0	0	0	1	1	1.46059e-05
1	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
10	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
11	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
12	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
13	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
14	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
15	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
16	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
2	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
3	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
4	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
5	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
6	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
7	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
8	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
9	AK, Anchorage Municipality	0	0	0	0	1	1	1	0
None	AK, Anchorage Municipality	0	1	0	0	0	1	1	0.0008537
1	AK, Bethel Census Area	0	0	0	0	1	1	1	0
10	AK, Bethel Census Area	0	0	0	0	1	1	1	0
11	AK, Bethel Census Area	0	0	0	0	1	1	1	0
12	AK, Bethel Census Area	0	0	0	0	1	1	1	0
13	AK, Bethel Census Area	0	0	0	0	1	1	1	0
14	AK, Bethel Census Area	0	0	0	0	1	1	1	0
15	AK, Bethel Census Area	0	0	0	0	1	1	1	0
16	AK, Bethel Census Area	0	0	0	0	1	1	1	0
2	AK, Bethel Census Area	0	0	0	0	1	1	1	0
