Dependency=Weekday Occupancy	Dependency=Heating Setpoint Has Offset	Option=DR Only	Option=Night	Option=Full	sampling_probability
Yes	Yes	1.000000	0.000000	0.000000	0.250000
Yes	No	0.000000	1.000000	0.000000	0.250000
No	Yes	1.000000	0.000000	0.000000	0.250000
No	No	0.000000	0.000000	1.000000	0.250000
