Dependency=Geometry Wall Type	Dependency=State	Dependency=Vintage ACS	Option=Aluminum, Light	Option=Brick, Light	Option=Brick, Medium/Dark	Option=Fiber-Cement, Light	Option=None	Option=Shingle, Asbestos, Medium	Option=Shingle, Composition, Medium	Option=Stucco, Light	Option=Stucco, Medium/Dark	Option=Vinyl, Light	Option=Wood, Medium/Dark	source_count	source_weight	sampling_probability
Wood Frame	AR	1960-79	0.0385581	0	0.357459	0.00981581	0	0.0157674	0.0314501	0.00877218	0	0.266183	0.271994	35453	35453	0.0015009
Brick	AR	1980-99	0.00124898	0	0	2.42521e-05	0.989984	0	2.42521e-05	0.000351656	0	0.00274049	0.00562649	82467	82467	0.0013828
Concrete	AR	1980-99	0.026738	0	0.40107	0	0.347594	0	0	0.165775	0	0.026738	0.0320856	187	187	0
Steel Frame	AR	1980-99	0.0287208	0	0.00571956	0	0	0.000307503	0	0.00135301	0	0.961009	0.00289053	16260	16260	1.1292e-05
Void	AR	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AR	1980-99	0.0122872	0	0.217774	0.00245744	0	0.0116079	0.0159035	0.00533445	0	0.271278	0.463358	50052	50052	0.00205413
Brick	AR	2000-09	0.000779978	0	0	0	0.996743	0	2.73676e-05	0.000396831	0	0.00176521	0.00028736	73079	73079	0.000807785
Concrete	AR	2000-09	0.00473934	0	0.706161	0	0.184834	0	0	0.0900474	0	0	0.014218	211	211	1.0831e-07
Steel Frame	AR	2000-09	0.0395941	0	0.00898353	0.000166362	0	0	0	0.027117	0	0.922808	0.00133089	6011	6011	1.19665e-05
Void	AR	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AR	2000-09	0.0265897	0	0.208081	0.000220792	0	0.000157709	0.0157078	0.00693919	0	0.262396	0.479908	31704	31704	0.000896132
Brick	AR	2010s	0.000101399	0	0	5.06997e-05	0.998175	0	0.000202799	0.000354898	0	0.000963293	0.000152099	39448	39448	0.000223838
Concrete	AR	2010s	0.00714286	0	0.585714	0	0.271429	0	0	0.0785714	0	0.0142857	0.0428571	140	140	0
Steel Frame	AR	2010s	0.0438427	0	0.0180529	0	0	0.000322373	0.000322373	0.0538362	0	0.882656	0.000967118	3102	3102	2.24844e-06
Void	AR	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AR	2010s	0.090894	0	0.258252	0.000912257	0	0.000829325	0.0516669	0.00696633	0	0.234367	0.356112	12058	12058	0.000238103
Brick	AR	<1940	0.000116421	0	0	0	0.996435	2.91053e-05	2.91053e-05	0.000291053	0	0.000669422	0.00243029	68716	68716	0.000148669
Concrete	AR	<1940	0	0	0.02	0	0.98	0	0	0	0	0	0	50	50	5.67103e-07
Steel Frame	AR	<1940	0.0130135	0	0.00535851	0.000765501	0	0.00280684	0	0.00586884	0	0.96989	0.0022965	3919	3919	2.73276e-06
Void	AR	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AR	<1940	0.020321	0	0.17302	0.00168322	0	0.0137106	0.0061361	0.0117213	0	0.408043	0.365365	65351	65351	0.000317555
Brick	AZ	1940-59	0	0	0	0	0.747592	0	0	0.206166	0.0340398	0.00256904	0.00963391	1557	1557	0.000114938
Concrete	AZ	1940-59	0	0	0.00434513	0	0.345748	0	0	0.647631	0	0.00103455	0.00124146	4833	4833	0.000316067
Steel Frame	AZ	1940-59	0.982143	0	0	0	0	0	0	0	0	0.0178571	0	56	56	4.76693e-05
Void	AZ	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AZ	1940-59	0.000119382	0	0.01737	0	0	0	0.00077598	0.297021	0.00185041	0.0391572	0.643706	16753	16753	0.00115389
Brick	AZ	1960-79	0	0	0	0	0.268677	0	0	0.703341	0.0217332	0.000814996	0.00543331	3681	3681	0.000148717
Concrete	AZ	1960-79	0	0	0.00462999	0	0.380816	0	0	0.61139	7.71664e-05	0.000540165	0.00254649	12959	12959	0.000818559
Steel Frame	AZ	1960-79	0.959104	0	0	0	0	0	0	0	0	0.00462304	0.0362731	2812	2812	0.000644229
Void	AZ	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AZ	1960-79	0.000391521	0	0.00574976	8.94905e-05	0	0	5.59315e-05	0.129884	0.000380334	0.0223726	0.841076	89395	89395	0.00374653
Brick	AZ	1980-99	0.000610874	0	0	0	0.310324	0	0	0.52474	0.14661	0.00122175	0.0164936	1637	1637	3.07517e-05
Concrete	AZ	1980-99	0	0	0.0029985	0	0.602999	0	0	0.390105	0	0.000149925	0.00374813	6670	6670	0.000424213
Steel Frame	AZ	1980-99	0.931464	0	0	0	0	0	0	0.00103842	0	0.00415369	0.0633437	963	963	0.000444996
Void	AZ	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AZ	1980-99	0.000109456	0	0.00284824	1.90358e-05	0	0	2.85538e-05	0.10088	6.18665e-05	0.00390711	0.892145	420260	420260	0.00740821
Brick	AZ	2000-09	0	0	0	0	0.113497	0	0	0.806748	0.0674847	0	0.0122699	326	326	5.20938e-06
Concrete	AZ	2000-09	0	0	0.000308547	0	0.709349	0	0	0.287874	0	0.00092564	0.00154273	3241	3241	4.41681e-05
Steel Frame	AZ	2000-09	0.5	0	0	0	0	0	0	0.0333333	0	0	0.466667	30	30	3.97743e-05
Void	AZ	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AZ	2000-09	9.35585e-05	0	0.0018088	1.55931e-05	0	0	0	0.118773	2.18303e-05	0.00137219	0.877916	320655	320655	0.00533263
Brick	AZ	2010s	0	0	0	0	0.0895522	0	0	0.880597	0	0	0.0298507	67	67	5.16606e-07
Concrete	AZ	2010s	0	0	0.0142857	0	0.388571	0	0	0.577143	0	0.00285714	0.0171429	350	350	2.57241e-06
Steel Frame	AZ	2010s	0.0188679	0	0	0	0	0	0	0.0754717	0	0	0.90566	53	53	1.78666e-05
Void	AZ	2010s	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AZ	2010s	0.00276061	0	0.00966213	6.00132e-05	0	0	0	0.643942	6.00132e-05	0.00612135	0.337394	16663	16663	0.000773058
Brick	AZ	<1940	0	0	0	0	0.794351	0	0	0.153575	0.0414828	0.00176523	0.00882613	1133	1133	6.25589e-05
Concrete	AZ	<1940	0	0	0.00509915	0	0.772805	0	0	0.208499	0	0.00793201	0.00566572	1765	1765	6.43103e-05
Steel Frame	AZ	<1940	0.878943	0	0.00767263	0	0	0	0	0.0332481	0.000852515	0.0673487	0.0119352	1173	1173	7.05853e-06
Void	AZ	<1940	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	AZ	<1940	0	0	0.010697	0.00033428	0	0	0.00033428	0.217449	0.00350994	0.114658	0.653017	5983	5983	0.000222366
Brick	CA	1940-59	0	0	0	0	0.998528	0	0	0.00105164	0.000105164	0	0.000315491	9509	9509	0.000490855
Concrete	CA	1940-59	0	0	0	0	0.997512	0	0	0.00248756	0	0	0	804	804	6.40278e-05
Steel Frame	CA	1940-59	0.0116959	0	0.22807	0.00292398	0	0.00292398	0	0.0116959	0	0.266082	0.476608	342	342	0.000286061
Void	CA	1940-59	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CA	1940-59	0.00155385	0	0.0303972	9.71157e-05	0	0.00135962	0.000291347	0.521414	9.71157e-05	0.0891522	0.355638	10297	10297	0.0198706
Brick	CA	1960-79	0	0	0	0	0.99382	0	0	0.00556242	0	0	0.000618047	1618	1618	0.00016631
Concrete	CA	1960-79	0	0	0	0	0.998996	0	0	0.00100402	0	0	0	1992	1992	0.000416558
Steel Frame	CA	1960-79	0.0574359	0.00102564	0.0728205	0.00205128	0	0	0	0.0451282	0	0.52	0.301538	975	975	0.00134817
Void	CA	1960-79	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CA	1960-79	0.000590667	0	0.01329	0	0	0	0	0.690416	0	0.178455	0.117247	13544	13544	0.0306221
Brick	CA	1980-99	0	0	0	0	1	0	0	0	0	0	0	1376	1376	0.000131402
Concrete	CA	1980-99	0	0	0	0	1	0	0	0	0	0	0	800	800	2.93216e-05
Steel Frame	CA	1980-99	0.12334	0	0.0303605	0	0	0	0	0.0170778	0	0.388994	0.440228	527	527	0.000546883
Void	CA	1980-99	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
Wood Frame	CA	1980-99	0	0	0.00295807	0	0	0	0	0.518531	0	0.267792	0.210719	11494	11494	0.0266973
Brick	CA	2000-09	0	0	0	0	1	0	0	0	0	0	0	383	383	3.8381e-05
Concrete	CA	2000-09	0	0	0	0	1	0	0	0	0	0	0	198	198	6.52571e-05
Steel Frame	CA	2000-09	0.137931	0.00862069	0.0517241	0	0	0	0	0.241379	0	0.12069	0.439655	116	116	0.000241676
Void	CA	2000-09	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	0	0
