Dependency=Geometry Building Type RECS	Option=None	Option=Yes	Option=No	sampling_probability
Mobile Home	0	0	1	0.0603164
Single-Family Detached	0	0	1	0.628371
Single-Family Attached	0	0	1	0.0583875
Multi-Family with 2 - 4 Units	1	0	0	0.0786533
Multi-Family with 5+ Units	1	0	0	0.174272
# Source: Not applicable; all homes are assumed to not have attic radiant barriers installed.
