Dependency=Location Region	Dependency=Vintage	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	resstock_probability
CR02	<1940	1.0	0.0	0.0	0.0	0.0	0.006833114291182706
CR05	<1940	1.0	0.0	0.0	0.0	0.0	0.004562048798117562
CR03	<1940	1.0	0.0	0.0	0.0	0.0	0.006206230228318441
CR04	<1940	1.0	0.0	0.0	0.0	0.0	0.017111731471437474
CR06	<1940	1.0	0.0	0.0	0.0	0.0	0.004484076736279271
CR07	<1940	1.0	0.0	0.0	0.0	0.0	0.016643777527550068
CR08	<1940	1.0	0.0	0.0	0.0	0.0	0.01640988434186796
CR09	<1940	1.0	0.0	0.0	0.0	0.0	0.03737843512936832
CR10	<1940	1.0	0.0	0.0	0.0	0.0	0.004810274316095549
CR11	<1940	1.0	0.0	0.0	0.0	0.0	0.013347432459165627
CR02	1950s	1.0	0.0	0.0	0.0	0.0	0.005689930951114067
CR05	1950s	1.0	0.0	0.0	0.0	0.0	0.0037988158181983165
CR03	1950s	1.0	0.0	0.0	0.0	0.0	0.005167924896473037
CR04	1950s	1.0	0.0	0.0	0.0	0.0	0.014248930484321291
CR06	1950s	1.0	0.0	0.0	0.0	0.0	0.0037338885201801415
CR07	1950s	1.0	0.0	0.0	0.0	0.0	0.01385926546255272
CR08	1950s	1.0	0.0	0.0	0.0	0.0	0.013664502720447766
CR09	1950s	1.0	0.0	0.0	0.0	0.0	0.031125004775822418
CR10	1950s	1.0	0.0	0.0	0.0	0.0	0.004005513086444186
CR11	1950s	1.0	0.0	0.0	0.0	0.0	0.01111440052529342
CR02	1960s	1.0	0.0	0.0	0.0	0.0	0.0057684868679521075
CR05	1960s	1.0	0.0	0.0	0.0	0.0	0.003851262756845084
CR03	1960s	1.0	0.0	0.0	0.0	0.0	0.005239273930737344
CR04	1960s	1.0	0.0	0.0	0.0	0.0	0.014445653046998122
CR06	1960s	1.0	0.0	0.0	0.0	0.0	0.0037854390642190557
CR07	1960s	1.0	0.0	0.0	0.0	0.0	0.01405060825993754
CR08	1960s	1.0	0.0	0.0	0.0	0.0	0.0138531565984233
CR09	1960s	1.0	0.0	0.0	0.0	0.0	0.031554720585690796
CR10	1960s	1.0	0.0	0.0	0.0	0.0	0.004060813714099568
CR11	1960s	1.0	0.0	0.0	0.0	0.0	0.01126784736513577
CR02	1970s	1.0	0.0	0.0	0.0	0.0	0.008252678286380235
CR05	1970s	1.0	0.0	0.0	0.0	0.0	0.00550980408833691
CR03	1970s	1.0	0.0	0.0	0.0	0.0	0.007495560481347546
CR04	1970s	1.0	0.0	0.0	0.0	0.0	0.02066665487198499
CR06	1970s	1.0	0.0	0.0	0.0	0.0	0.005415633507507099
CR07	1970s	1.0	0.0	0.0	0.0	0.0	0.020101484557663033
CR08	1970s	1.0	0.0	0.0	0.0	0.0	0.019819000593169454
CR09	1970s	1.0	0.0	0.0	0.0	0.0	0.04514372024613368
CR10	1970s	1.0	0.0	0.0	0.0	0.0	0.005809597894652399
CR11	1970s	1.0	0.0	0.0	0.0	0.0	0.016120331278055833
CR02	1980s	0.62	0.14	0.24	0.0	0.0	0.007213414372879676
CR05	1980s	0.77	0.06	0.17	0.0	0.0	0.004815951697541973
CR03	1980s	0.41	0.26	0.33	0.0	0.0	0.006551640792562229
CR04	1980s	0.56	0.2	0.24	0.0	0.0	0.01806409266418988
CR06	1980s	0.23	0.17	0.6	0.0	0.0	0.004733640065161822
CR07	1980s	0.47	0.2	0.33	0.0	0.0	0.01757009453085866
CR08	1980s	0.41	0.12	0.47	0.0	0.0	0.01732318391361712
CR09	1980s	0.57	0.2	0.23	0.0	0.0	0.03945874892592613
CR10	1980s	0.41	0.51	0.08	0.0	0.0	0.005077992319547726
CR11	1980s	0.23	0.17	0.6	0.0	0.0	0.01409028987942208
CR02	1990s	0.23	0.17	0.6	0.0	0.0	0.007559017042496428
CR05	1990s	0.62	0.14	0.24	0.0	0.0	0.005046689275806367
CR03	1990s	0.77	0.06	0.17	0.0	0.0	0.006865537157200935
CR04	1990s	0.41	0.26	0.33	0.0	0.0	0.018929563345095206
CR06	1990s	0.56	0.2	0.24	0.0	0.0	0.004960434001979796
CR07	1990s	0.23	0.17	0.6	0.0	0.0	0.018411897214219458
CR08	1990s	0.47	0.2	0.33	0.0	0.0	0.018153156835915497
CR09	1990s	0.41	0.12	0.47	0.0	0.0	0.04134926127744284
CR10	1990s	0.57	0.2	0.23	0.0	0.0	0.005321284554155406
CR11	1990s	0.41	0.51	0.08	0.0	0.0	0.014765371268938617
CR02	2000s	0.0	0.0	0.0	1.0	0.0	0.007697602580473051
CR05	2000s	0.0	0.0	0.0	1.0	0.0	0.0051392142885635156
CR03	2000s	0.0	0.0	0.0	1.0	0.0	0.006991408570782899
CR04	2000s	0.0	0.0	0.0	1.0	0.0	0.019276614251991453
CR06	2000s	0.0	0.0	0.0	1.0	0.0	0.00505137762744024
CR07	2000s	0.0	0.0	1.0	0.0	0.0	0.018749457331660363
CR08	2000s	0.0	0.0	1.0	0.0	0.0	0.018485973257936487
CR09	2000s	0.0	1.0	0.0	0.0	0.0	0.042107350535193454
CR10	2000s	0.0	1.0	0.0	0.0	0.0	0.005418843942964613
CR11	2000s	0.0	0.0	1.0	0.0	0.0	0.01503607669389353
CR02	1940s	1.0	0.0	0.0	0.0	0.0	0.002709170655211211
CR05	1940s	1.0	0.0	0.0	0.0	0.0	0.0018087460863123448
CR03	1940s	1.0	0.0	0.0	0.0	0.0	0.0024606257260677104
CR04	1940s	1.0	0.0	0.0	0.0	0.0	0.006784402951095467
CR06	1940s	1.0	0.0	0.0	0.0	0.0	0.0017778319799683037
CR07	1940s	1.0	0.0	0.0	0.0	0.0	0.006598870112224909
CR08	1940s	1.0	0.0	0.0	0.0	0.0	0.006506136912090749
CR09	1940s	1.0	0.0	0.0	0.0	0.0	0.014819678886517381
CR10	1940s	1.0	0.0	0.0	0.0	0.0	0.0019071617223640244
CR11	1940s	1.0	0.0	0.0	0.0	0.0	0.005291946073175707
CR02	2010s	0.0	0.0	0.0	1.0	0.0	0.0017497925754754473
CR05	2010s	0.0	0.0	0.0	1.0	0.0	0.0011682285376381617
