Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
CA, 03703	1	0	0	2691	55950	0.000421227
CA, 03704	1	0	0	2597	50551	0.000384932
CA, 03705	0	1	0	3481	63530	0.000462318
CA, 03706	0	1	0	2549	43703	0.000319099
CA, 03707	1	0	0	2141	37684	0.000270223
CA, 03708	0	1	0	2507	43929	0.000323033
CA, 03709	1	0	0	2195	42535	0.000314422
CA, 03710	1	0	0	3087	49240	0.000365047
CA, 03711	1	0	0	3152	59081	0.000441314
CA, 03712	1	0	0	2318	40030	0.000299266
CA, 03713	1	0	0	2094	34795	0.000260427
CA, 03714	1	0	0	2144	36050	0.000268294
CA, 03715	1	0	0	2192	33235	0.000251599
CA, 03716	1	0	0	1743	26547	0.000197192
CA, 03717	1	0	0	3687	68683	0.000513664
CA, 03718	1	0	0	3222	61134	0.000443514
CA, 03719	0	1	0	3674	78442	0.000569813
CA, 03720	0	1	0	2373	51289	0.000381269
CA, 03721	0	1	0	2848	57234	0.000419808
CA, 03722	0	1	0	3176	63829	0.000464135
CA, 03723	0	1	0	2561	41443	0.00030281
CA, 03724	0	1	0	3142	64865	0.000477827
CA, 03725	0	1	0	3448	67663	0.000501157
CA, 03726	1	0	0	2023	42319	0.000311097
CA, 03727	0	1	0	3799	77972	0.000576989
CA, 03728	0	1	0	2395	58344	0.000437898
CA, 03729	0	1	0	4605	95731	0.00070783
CA, 03730	0	1	0	3878	80362	0.000591988
CA, 03731	1	0	0	2557	67870	0.00049025
CA, 03732	0	1	0	4330	88944	0.000646395
CA, 03733	0	1	0	2604	50507	0.000361512
CA, 03734	0	1	0	4544	82396	0.000595478
CA, 03735	0	1	0	4223	66071	0.000486324
CA, 03736	1	0	0	2549	44728	0.0003315
CA, 03737	1	0	0	2495	40680	0.000306428
CA, 03738	1	0	0	2052	35763	0.000276897
CA, 03739	1	0	0	3192	53546	0.00040562
CA, 03740	1	0	0	2156	38316	0.000298426
CA, 03741	1	0	0	2138	36078	0.000268257
CA, 03742	1	0	0	1997	32731	0.000246473
CA, 03743	1	0	0	1814	32352	0.000242892
CA, 03744	0	1	0	3522	71854	0.000479658
CA, 03745	0	1	0	1762	30298	0.000219921
CA, 03746	0	1	0	2091	34495	0.000253266
CA, 03747	0	1	0	3060	65935	0.000482428
CA, 03748	1	0	0	3736	90782	0.000654547
CA, 03749	1	0	0	1963	39180	0.000295446
CA, 03750	0	1	0	2717	57451	0.000417398
CA, 03751	0	1	0	2212	41355	0.000299514
CA, 03752	1	0	0	2300	41924	0.000311472
CA, 03753	1	0	0	1569	34104	0.000254212
CA, 03754	1	0	0	2432	40653	0.000306203
CA, 03755	1	0	0	1912	32703	0.000248627
CA, 03756	1	0	0	1901	35644	0.000266162
CA, 03757	1	0	0	2180	40932	0.000311405
CA, 03758	1	0	0	2691	53774	0.000398241
CA, 03759	1	0	0	1782	38345	0.00028547
CA, 03760	1	0	0	2950	61873	0.000473225
CA, 03761	0	1	0	2538	49638	0.000374212
CA, 03762	1	0	0	1788	33711	0.000252162
CA, 03763	0	1	0	2369	46835	0.000345988
CA, 03764	1	0	0	3057	51268	0.000390352
CA, 03765	1	0	0	2953	56658	0.000420858
CA, 03766	0	1	0	1751	37175	0.00027216
CA, 03767	1	0	0	3453	64276	0.000473661
CA, 03768	1	0	0	2363	46271	0.000348645
CA, 03769	1	0	0	1867	40805	0.00029766
CA, 03900	1	0	0	2091	50677	0.00037416
CA, 04101	1	0	0	2147	48429	0.000361399
CA, 04102	1	0	0	3015	64655	0.000481288
CA, 04701	1	0	0	1418	34540	0.000251247
CA, 04702	1	0	0	2619	50711	0.000380361
CA, 05301	1	0	0	4066	76405	0.00056609
CA, 05302	1	0	0	2352	46376	0.000348225
CA, 05303	1	0	0	2229	38009	0.000274044
CA, 05500	1	0	0	3604	55602	0.000415123
CA, 05700	0	0	1	2458	56354	0.000416903
CA, 05901	1	0	0	3272	80560	0.000589547
CA, 05902	1	0	0	2064	39847	0.000294807
