Dependency=PUMA	Option=In metro area, not/partially in principal city	Option=In metro area, principal city	Option=Not/partially in metro area	source_count	source_weight	sampling_probability
FL, 08900	1	0	0	2387	48969	0.000343555
FL, 09100	1	0	0	5320	97058	0.000712009
FL, 09300	0	0	1	2361	47364	0.000345168
FL, 09501	1	0	0	2226	53202	0.000386042
FL, 09502	1	0	0	2233	51840	0.0003669
FL, 09503	1	0	0	2382	63974	0.00040628
FL, 09504	1	0	0	2668	56516	0.000413937
FL, 09505	1	0	0	3199	59321	0.000439338
FL, 09506	1	0	0	1979	48012	0.000355866
FL, 09507	1	0	0	2892	54828	0.000399885
FL, 09508	1	0	0	2230	41896	0.000314002
FL, 09509	1	0	0	1923	58300	0.000383152
FL, 09510	1	0	0	1468	48092	0.000352172
FL, 09701	1	0	0	3072	94390	0.000643803
FL, 09702	1	0	0	2101	55037	0.000370226
FL, 09901	1	0	0	3016	58514	0.000425054
FL, 09902	1	0	0	3901	62115	0.000464741
FL, 09903	1	0	0	4299	77822	0.000599582
FL, 09904	1	0	0	2817	54461	0.000408389
FL, 09905	1	0	0	2998	53936	0.000404403
FL, 09906	1	0	0	4928	81021	0.000604229
FL, 09907	1	0	0	4302	77748	0.000569616
FL, 09908	1	0	0	3511	69710	0.000482149
FL, 09909	1	0	0	2890	49876	0.000374023
FL, 09910	1	0	0	2460	47938	0.000340793
FL, 09911	1	0	0	2725	53269	0.000393789
FL, 10101	1	0	0	3768	58814	0.000427381
FL, 10102	1	0	0	3193	53044	0.000386154
FL, 10103	1	0	0	4644	74512	0.00054627
FL, 10104	1	0	0	3196	57081	0.000389059
FL, 10301	1	0	0	3241	60423	0.00046219
FL, 10302	1	0	0	3067	58994	0.0004406
FL, 10303	1	0	0	3077	56583	0.000426593
FL, 10304	1	0	0	3269	58948	0.000442687
FL, 10305	1	0	0	4693	66103	0.000497125
FL, 10306	1	0	0	3149	56817	0.000422884
FL, 10307	0	1	0	4725	86585	0.000615204
FL, 10308	1	0	0	3656	64679	0.000479626
FL, 10501	1	0	0	4686	81303	0.000593862
FL, 10502	1	0	0	4705	88715	0.000623115
FL, 10503	1	0	0	3191	58125	0.000418538
FL, 10504	1	0	0	3592	67313	0.000491352
FL, 10700	0	0	1	2911	53331	0.000385501
FL, 10900	1	0	0	3992	91342	0.000618476
FL, 11101	1	0	0	2671	61589	0.000459967
FL, 11102	1	0	0	2482	80146	0.000573309
FL, 11300	1	0	0	3067	71649	0.000507468
FL, 11501	1	0	0	4691	79155	0.000575006
FL, 11502	1	0	0	4248	86045	0.00062325
FL, 11503	1	0	0	3472	75566	0.000540175
FL, 11701	1	0	0	2521	50427	0.000373994
