Dependency=Geometry Building Type RECS	Option=Multi-Family	Option=Single-Family	Option=Mobile Home	sampling_probability
Mobile Home	0.000000	0.000000	1.000000	0.200000
Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.200000
Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.200000
Single-Family Attached	0.000000	1.000000	0.000000	0.200000
Single-Family Detached	0.000000	1.000000	0.000000	0.200000
