Dependency=Occupants	Dependency=Vacancy Status	Option=0	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10+	source_count	source_weight	sampling_probability
1	Occupied	0	1	0	0	0	0	0	0	0	0	0	1.71425e+06	3.34638e+07	0.239131
10+	Occupied	0	0	0	0	0	0	0	0	0	0	1	8317	162308	0.00128225
2	Occupied	0	0	1	0	0	0	0	0	0	0	0	2.27558e+06	4.10413e+07	0.305456
3	Occupied	0	0	0	1	0	0	0	0	0	0	0	925790	1.85927e+07	0.136839
4	Occupied	0	0	0	0	1	0	0	0	0	0	0	739418	1.5279e+07	0.11043
5	Occupied	0	0	0	0	0	1	0	0	0	0	0	335570	7.13394e+06	0.0523047
6	Occupied	0	0	0	0	0	0	1	0	0	0	0	128476	2.78478e+06	0.021007
7	Occupied	0	0	0	0	0	0	0	1	0	0	0	46980	1.00817e+06	0.00781108
8	Occupied	0	0	0	0	0	0	0	0	1	0	0	19200	410486	0.00322102
9	Occupied	0	0	0	0	0	0	0	0	0	1	0	8160	166759	0.0013096
1	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0367947
10+	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.000153339
2	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0419097
3	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0178855
4	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0137438
5	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.00657245
6	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.00262991
7	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.000968294
8	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.000392301
9	Vacant	1	0	0	0	0	0	0	0	0	0	0	1	1	0.00015762
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: Represents actual occupancy in unit in that Vacant units corresponds to Option=0.
