Dependency=HVAC System Cooling	Dependency=HVAC System Is Heat Pump	Option=Central	Option=Room	Option=None	Option=N/A
"AC, SEER 10"	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 13"	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 15"	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 8"	No	1.000000	0.000000	0.000000	0.000000
None	No	0.000000	0.000000	1.000000	0.000000
"Room AC, EER 10.7, 20% Conditioned"	No	0.000000	1.000000	0.000000	0.000000
"Room AC, EER 9.8, 20% Conditioned"	No	0.000000	1.000000	0.000000	0.000000
"Room AC, EER 8.5, 20% Conditioned"	No	0.000000	1.000000	0.000000	0.000000
"AC, SEER 10"	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Yes	0.000000	0.000000	0.000000	1.000000
None	Yes	1.000000	0.000000	0.000000	0.000000
"Room AC, EER 10.7, 20% Conditioned"	Yes	0.000000	0.000000	0.000000	1.000000
"Room AC, EER 9.8, 20% Conditioned"	Yes	0.000000	0.000000	0.000000	1.000000
"Room AC, EER 8.5, 20% Conditioned"	Yes	0.000000	0.000000	0.000000	1.000000
