Dependency=Geometry Building Type RECS	Dependency=Usage Level	Option=EF 10.2, 100% Usage	Option=EF 10.5, 100% Usage	Option=EF 15.9, 100% Usage	Option=EF 17.6, 100% Usage	Option=EF 6.7, 100% Usage	sampling_probability
Mobile Home	Average	0.024380	0.066827	0.321826	0.562587	0.024380	0.000000
Multi-Family with 2 - 4 Units	Medium	0.013683	0.073747	0.322583	0.576304	0.013683	0.039325
Multi-Family with 5+ Units	Low	0.014750	0.061490	0.300636	0.607870	0.014727	0.043576
Single-Family Attached	High	0.015515	0.066510	0.281868	0.620327	0.015502	0.014599
Single-Family Detached	Average	0.012364	0.069471	0.256486	0.648904	0.012347	0.000000
Mobile Home	Medium	0.024380	0.066827	0.321826	0.562587	0.024380	0.030153
Multi-Family with 2 - 4 Units	Low	0.013683	0.073747	0.322583	0.576304	0.013683	0.019663
Multi-Family with 5+ Units	High	0.014750	0.061490	0.300636	0.607870	0.014727	0.043576
Single-Family Attached	Average	0.015515	0.066510	0.281868	0.620327	0.015502	0.000000
Single-Family Detached	Medium	0.012364	0.069471	0.256486	0.648904	0.012347	0.314180
Mobile Home	Low	0.024380	0.066827	0.321826	0.562587	0.024380	0.015076
Multi-Family with 2 - 4 Units	High	0.013683	0.073747	0.322583	0.576304	0.013683	0.019663
Multi-Family with 5+ Units	Average	0.014750	0.061490	0.300636	0.607870	0.014727	0.000000
Single-Family Attached	Medium	0.015515	0.066510	0.281868	0.620327	0.015502	0.029199
Single-Family Detached	Low	0.012364	0.069471	0.256486	0.648904	0.012347	0.157090
Mobile Home	High	0.024380	0.066827	0.321826	0.562587	0.024380	0.015076
Multi-Family with 2 - 4 Units	Average	0.013683	0.073747	0.322583	0.576304	0.013683	0.000000
Multi-Family with 5+ Units	Medium	0.014750	0.061490	0.300636	0.607870	0.014727	0.087151
Single-Family Attached	Low	0.015515	0.066510	0.281868	0.620327	0.015502	0.014599
Single-Family Detached	High	0.012364	0.069471	0.256486	0.648904	0.012347	0.157090
