Dependency=Usage Level	Option=50%	Option=100%	Option=200%	sampling_probability
Low	1.000000	0.000000	0.000000	0.250000
Medium	0.000000	1.000000	0.000000	0.500000
High	0.000000	0.000000	1.000000	0.250000
Average	0.000000	1.000000	0.000000	0.000000
# Source: Engineering Judgement, Calibration
