Dependency=Geometry Building Type RECS	Option=Not Applicable	Option=Double-Loaded Interior	Option=None	Option=Single Exterior Front	Option=Double Exterior	sampling_probability
Mobile Home	1	0	0	0	0	0.0627558
Multi-Family with 2 - 4 Units	0	1	0	0	0	0.079939
Multi-Family with 5+ Units	0	1	0	0	0	0.183868
Single-Family Attached	1	0	0	0	0	0.0583947
Single-Family Detached	1	0	0	0	0	0.615043
# Created by: manually created
# Description: Type of corridor attached to multi-family units.
# Source: Engineering Judgment
