Dependency=Usage Level	Option=95% Usage	Option=100% Usage	Option=105% Usage	sampling_probability
Average	0	1	0	0
Medium	0	1	0	0.5
Low	1	0	0	0.25
High	0	0	1	0.25
# Created by: sources\other\tsv_maker.py
# Description: Refrigerator energy usage level multiplier.
# Source: n/a
# Assumption: Engineering judgement
