Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	sampling_probability
Single-Family Detached	<1940	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.001067
Single-Family Attached	<1940	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000105
Multi-Family with 2 - 4 Units	<1940	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000171
Multi-Family with 5+ Units	<1940	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000380
Mobile Home	<1940	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000427
Single-Family Attached	1940s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000042
Multi-Family with 2 - 4 Units	1940s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000069
Multi-Family with 5+ Units	1940s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000152
Mobile Home	1940s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000901
Single-Family Attached	1950s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000088
Multi-Family with 2 - 4 Units	1950s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000145
Multi-Family with 5+ Units	1950s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000321
Mobile Home	1950s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000911
Single-Family Attached	1960s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000089
Multi-Family with 2 - 4 Units	1960s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000146
Multi-Family with 5+ Units	1960s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000325
Mobile Home	1960s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.001301
Single-Family Attached	1970s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000128
Multi-Family with 2 - 4 Units	1970s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000209
Multi-Family with 5+ Units	1970s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000463
Mobile Home	1970s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.001141
Single-Family Attached	1980s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000112
Multi-Family with 2 - 4 Units	1980s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000183
Multi-Family with 5+ Units	1980s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000406
Mobile Home	1980s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.001198
Single-Family Attached	1990s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000117
Multi-Family with 2 - 4 Units	1990s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000192
Multi-Family with 5+ Units	1990s	CR02	Crawl	0.000000	0.000000	0.000000	1.000000	0.000427
