Dependency=HVAC Heating Efficiency	Dependency=HVAC System Is Scaled	Option=None	Option=40% Oversized	sampling_probability
ASHP, SEER 10, 6.2 HSPF	Yes	1	0	0
ASHP, SEER 13, 7.7 HSPF	Yes	1	0	0
ASHP, SEER 15, 8.5 HSPF	Yes	1	0	0
Electric Baseboard, 100% Efficiency	Yes	1	0	0
Electric Boiler, 100% AFUE	Yes	1	0	0
Electric Furnace, 100% AFUE	Yes	1	0	0
Electric Wall Furnace, 100% AFUE	Yes	1	0	0
Fuel Boiler, 76% AFUE	Yes	1	0	0
Fuel Boiler, 80% AFUE	Yes	1	0	0
Fuel Boiler, 90% AFUE	Yes	1	0	0
Fuel Furnace, 60% AFUE	Yes	0	1	0
Fuel Furnace, 76% AFUE	Yes	0	1	0
Fuel Furnace, 80% AFUE	Yes	0	1	0
Fuel Furnace, 92.5% AFUE	Yes	0	1	0
Fuel Wall/Floor Furnace, 60% AFUE	Yes	1	0	0
Fuel Wall/Floor Furnace, 68% AFUE	Yes	1	0	0
MSHP, SEER 14.5, 8.2 HSPF	Yes	1	0	0
MSHP, SEER 29.3, 14 HSPF	Yes	1	0	0
None	Yes	1	0	0
Shared Heating	Yes	1	0	0
Void	Yes	1	0	0
ASHP, SEER 10, 6.2 HSPF	No	1	0	0.00718271
ASHP, SEER 13, 7.7 HSPF	No	1	0	0.0741013
ASHP, SEER 15, 8.5 HSPF	No	1	0	0.0724941
Electric Baseboard, 100% Efficiency	No	1	0	0.0628361
Electric Boiler, 100% AFUE	No	1	0	0.00205652
Electric Furnace, 100% AFUE	No	1	0	0.113377
Electric Wall Furnace, 100% AFUE	No	1	0	0.0110866
Fuel Boiler, 76% AFUE	No	1	0	0.00505013
Fuel Boiler, 80% AFUE	No	1	0	0.0321592
Fuel Boiler, 90% AFUE	No	1	0	0.004549
Fuel Furnace, 60% AFUE	No	1	0	0.00523274
Fuel Furnace, 76% AFUE	No	1	0	0.0275989
Fuel Furnace, 80% AFUE	No	1	0	0.247268
Fuel Furnace, 92.5% AFUE	No	1	0	0.153265
Fuel Wall/Floor Furnace, 60% AFUE	No	1	0	0.0360773
Fuel Wall/Floor Furnace, 68% AFUE	No	1	0	0.0282991
MSHP, SEER 14.5, 8.2 HSPF	No	1	0	0.0096059
MSHP, SEER 29.3, 14 HSPF	No	1	0	0.000138022
None	No	1	0	0.0113596
Shared Heating	No	1	0	0.0962631
Void	No	1	0	0
# Created by: manually created
# Description: The heating scaling factor applied to the auto-sizing methodology (not used in project_national).
# Source: Assuming no oversizing or undersizing until we have data necessary to characterize all types of systems.
