Dependency=Location	Dependency=Geometry Building Type RECS	Option=East	Option=West	Option=Northeast	Option=Southwest	Option=North	Option=South	Option=Northwest	Option=Southeast	resstock_probability
AL_Birmingham.Muni.AP.722280	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.0003458309943317155
AL_Huntsville.Intl.AP-Jones.Field.723230	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.0002612512558587567
AL_Mobile-Rgnl.AP.722230	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.00034798858540770585
AL_Montgomery-Dannelly.Field.722260	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.0001845616789955291
AR_Fort.Smith.Rgnl.AP.723440	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.00013334141094857813
AR_Little.Rock-Adams.Field.723403	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.00029167870582413
AZ_Flagstaff-Pulliam.AP.723755	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	8.468040644346133e-05
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.0009229929062697774
AZ_Prescott-Love.Field.723723	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	6.703789096769941e-05
AZ_Tucson.Intl.AP.722740	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.00020914832621928147
CA_Arcata.AP.725945	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	9.003834383990221e-05
CA_Bakersfield-Meadows.Field.723840	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.00013375667329947115
CA_Fresno.Air.Terminal.723890	Mobile Home	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.00030687218540403346
