Dependency=State	Option=East North Central	Option=East South Central	Option=Middle Atlantic	Option=Mountain North	Option=Mountain South	Option=New England	Option=Pacific	Option=South Atlantic	Option=West North Central	Option=West South Central	source_count	source_weight	sampling_probability
AL	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	67.000000	2209335.000000	0.016588
AR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	75.000000	1341391.000000	0.010072
AZ	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.000000	2913541.000000	0.021872
CA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	58.000000	13911737.000000	0.104415
CO	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	64.000000	2284863.000000	0.017154
CT	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	8.000000	1493798.000000	0.011214
DC	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	306711.000000	0.002303
DE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	3.000000	417927.000000	0.003137
FL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	67.000000	9152815.000000	0.068708
GA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	159.000000	4156518.000000	0.031200
IA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	99.000000	1362619.000000	0.010230
ID	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	44.000000	686013.000000	0.005151
IL	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	102.000000	5310327.000000	0.039860
IN	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	92.000000	2830669.000000	0.021246
KS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	105.000000	1248955.000000	0.009377
KY	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	120.000000	1951090.000000	0.014649
LA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	64.000000	2011700.000000	0.015096
MA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	14.000000	2836658.000000	0.021292
