Dependency=Vacancy Status	Option=None	Option=Standard Efficiency	Option=Standard Efficiency, No usage	sampling_probability
Occupied	0.280000	0.720000	0.000000	0.882107
Vacant	0.280000	0.000000	0.720000	0.117921
# Source: Wilson et al. 'Building America House Simulation Protocols' 2014, national average used as saturation
# Assumption: If the unit is vacant there is no ceiling fan energy
