Vintage,Size,No,Yes,,Check Sum,Source
pre-1950,0-1499,0.825518268320634,0.174481731679366,,1,RECS
1950s,0-1499,0.701257019084082,0.298742980915918,,1,RECS
1960s,0-1499,0.629105867181095,0.370894132818905,,1,RECS
1970s,0-1499,0.599778138857899,0.400221861142101,,1,RECS
1980s,0-1499,0.586354631595257,0.413645368404743,,1,RECS
1990s,0-1499,0.662578583063091,0.337421416936909,,1,RECS
2000s,0-1499,0.462774879649969,0.537225120350031,,1,RECS
pre-1950,1500-2499,0.866780597252169,0.133219402747831,,1,RECS
1950s,1500-2499,0.595437140208083,0.404562859791917,,1,RECS
1960s,1500-2499,0.474434455397987,0.525565544602013,,1,RECS
1970s,1500-2499,0.362972524687878,0.637027475312122,,1,RECS
1980s,1500-2499,0.309694989895936,0.690305010104064,,1,RECS
1990s,1500-2499,0.267960334077888,0.732039665922112,,1,RECS
2000s,1500-2499,0.218168039028354,0.781831960971646,,1,RECS
pre-1950,2500-3499,0.835087768290216,0.164912231709784,,1,RECS
1950s,2500-3499,0.573068726534962,0.426931273465038,,1,RECS
1960s,2500-3499,0.332116033873437,0.667883966126563,,1,RECS
1970s,2500-3499,0.28515520385007,0.71484479614993,,1,RECS
1980s,2500-3499,0.188344102438203,0.811655897561797,,1,RECS
1990s,2500-3499,0.182837211943292,0.817162788056708,,1,RECS
2000s,2500-3499,0.114817411204699,0.885182588795301,,1,RECS
pre-1950,3500-4499,0.738646211283747,0.261353788716253,,1,RECS
1950s,3500-4499,0.380887370330335,0.619112629669665,,1,RECS
1960s,3500-4499,0.228495221128496,0.771504778871504,,1,RECS
1970s,3500-4499,0.246795773423411,0.753204226576589,,1,RECS
1980s,3500-4499,0.161854797831493,0.838145202168507,,1,RECS
1990s,3500-4499,4.90735838594261E-02,0.950926416140574,,1,RECS
2000s,3500-4499,5.59361498876206E-02,0.944063850112379,,1,RECS
pre-1950,4500+,0.604634293554826,0.395365706445174,,1,RECS
1950s,4500+,0.339657268677626,0.660342731322374,,1,RECS
1960s,4500+,0.203120682606664,0.796879317393336,,1,RECS
1970s,4500+,0.124877454288144,0.875122545711856,,1,RECS
1980s,4500+,1.32753174765594E-02,0.986724682523441,,1,RECS
1990s,4500+,5.90993424034413E-02,0.940900657596559,,1,RECS
2000s,4500+,4.16756037480196E-02,0.95832439625198,,1,RECS
