Dependency=Location Cooling Region	Dependency=Vintage	Dependency=HVAC System Is Combined	"Option=AC, SEER 10"	"Option=AC, SEER 13"	"Option=AC, SEER 15"	"Option=FIXME Room AC, EER 9.8, 20% Conditioned"	Option=FIXME Evaporative Cooler	Option=None	Count	Weight
C1	<1950	No	0.017385196	0.016116359	0	0.068983716	0.00427763	0.893237099	252	540719.7929
C1	1950s	No	0.079167147	0.018232968	0.026554892	0.04415515	0.009133246	0.822756596	83	207641.1352
C1	1960s	No	0.092331585	0.022666212	0	0.078815191	0.001521433	0.804665578	99	273795.4571
C1	1970s	No	0.057466015	0.043776161	0	0.0443579	0.001402751	0.852997173	103	296960.519
C1	1980s	No	0.038900075	0.002760969	0.055526853	0.030300547	0	0.872511557	73	194708.931
C1	1990s	No	0.153810641	0.052096054	0.013058482	0.061647314	0	0.719387509	97	237197.8098
C1	2000s	No	0.162888205	0.053521376	0.018042883	0.021900852	0	0.743646683	88	255044.545
C1	<1950	Yes	0	0	0	0	0	1	0	0
C1	1950s	Yes	0	0	0	0	0	1	0	0
C1	1960s	Yes	0	0	0	0	0	1	2	5511.05
C1	1970s	Yes	0	0	0	0	0	1	0	0
C1	1980s	Yes	0	0	0	0	0	1	0	0
C1	1990s	Yes	0	0	0	0	0	1	0	0
C1	2000s	Yes	0	0	0	0	0	1	1	1192.46
C2	<1950	No	0.051091322	0.042480205	0	0.182763539	0.002790086	0.720874848	52	196042.702
C2	1950s	No	0.208757554	0.043122777	0.04201581	0.104967294	0.005345264	0.5957913	25	83900.0352
C2	1960s	No	0.227964385	0.050193537	0	0.175429279	0.000833713	0.545579086	27	118155.9185
C2	1970s	No	0.154779359	0.105752775	0	0.107708102	0.000838551	0.630921213	33	117474.2574
C2	1980s	No	0.113870729	0.007248953	0.097529438	0.079962721	0	0.70138816	17	70871.26145
C2	1990s	No	0.333281701	0.101246974	0.016978088	0.120424453	0	0.428068784	25	116635.711
C2	2000s	No	0.365482534	0.107710092	0.024291477	0.044300991	0	0.458214906	25	121111.3944
C2	<1950	Yes	0	0	0	0	0	1	0	0
C2	1950s	Yes	0	0	0	0	0	1	0	0
C2	1960s	Yes	0	0	0	0	0	1	0	0
C2	1970s	Yes	0	0	0	0	0	1	0	0
C2	1980s	Yes	0	0	0	0	0	1	0	0
C2	1990s	Yes	0	0	0	0	0	1	0	0
C2	2000s	Yes	0	0	0	0	0	1	0	0
C3	<1950	No	0.122485583	0.193159583	0	0.139959969	0.166184482	0.378210382	12	47110.62505
C3	1950s	No	0.325062361	0.127357064	0.085553526	0.052210149	0.206789624	0.203027276	9	31041.56963
C3	1960s	No	0.438973113	0.183320297	0	0.107906958	0.039886183	0.22991345	5	35350.09435
C3	1970s	No	0.282099167	0.365571528	0	0.062706648	0.037971092	0.251651565	12	37132.99362
C3	1980s	No	0.262257613	0.031665263	0.293732774	0.058827449	0	0.3535169	4	17728.01757
C3	1990s	No	0.490362835	0.282540013	0.032665968	0.056597495	0	0.13783369	10	45670.04915
C3	2000s	No	0.510473703	0.285334952	0.044367132	0.019764992	0	0.140059221	21	49955.61064
C3	<1950	Yes	0	0	0	0	0	1	0	0
C3	1950s	Yes	0	0	0	0	0	1	0	0
C3	1960s	Yes	0	0	0	0	0	1	0	0
C3	1970s	Yes	0	0	0	0	0	1	0	0
C3	1980s	Yes	0	0	0	0	0	1	0	0
C3	1990s	Yes	0	0	0	0	0	1	0	0
C3	2000s	Yes	0	0	0	0	0	1	0	0
