Dependency=Location Heating Region	Dependency=Vintage	Option=Clear, Single, Metal	Option=Clear, Single, Non-metal	Option=Clear, Double, Metal, Air	Option=Clear, Double, Non-metal, Air	Option=Low-E, Double, Non-metal, Air, M-Gain	Count	Weight
H1	<1950	0.0534642186864	0.325952608933	0.0450281055472	0.187671722061	0.387883344772	393	649585.29
H1	1950s	0.0866784691734	0.151000911707	0.110288843478	0.270464953111	0.38156682253	125	251517.19
H1	1960s	0.134871146881	0.0560078926111	0.119287713322	0.135457172281	0.554376074905	179	431218.51
H1	1970s	0.123685524608	0.0302851938825	0.19830361528	0.167134103755	0.480591562474	178	450584.7
H1	1980s	0.0108895308243	0.0145763290056	0.310311451033	0.220645531613	0.443577157525	110	319582.18
H1	1990s	0.0	0.0200423250908	0.0194244818831	0.305268137134	0.655265055892	110	341745.28
H1	2000s	0.0	0.0174536440693	0.0130861506347	0.168071687063	0.801388518233	123	378758.44
H2	<1950	0.0247116781211	0.440230972521	0.103077262327	0.0871082964853	0.344871790545	53	115548.81
H2	1950s	0.0767609438974	0.0549250056204	0.0932510250277	0.227020057927	0.548042967528	36	79931.99
H2	1960s	0.115326081439	0.0422828821726	0.119750009047	0.292448708112	0.430192319229	19	41172.69
H2	1970s	0.0930098572046	0.0396112347004	0.23796774018	0.185434983694	0.443976184221	50	104184.71
H2	1980s	0.133582734801	0.0	0.181793380716	0.120536915475	0.564086969007	21	32036.7
H2	1990s	0.0	0.0	0.0	0.463767362371	0.536232637629	54	130682.04
H2	2000s	0.0	0.0	0.0	0.121727179062	0.878272820938	42	97794.84
H3	<1950	0.0929666939044	0.252075624817	0.0772631348398	0.326534584265	0.251159962174	38	67847.04
H3	1950s	0.0	0.212409521988	0.107310179833	0.327608892419	0.35267140576	24	28857.84
H3	1960s	0.0404522383543	0.0936824122147	0.154172036492	0.183428740188	0.52826457275	27	38533.22
H3	1970s	0.020929984033	0.0321731909818	0.0581145727253	0.272083702649	0.616698549611	35	50904.96
H3	1980s	0.0767701933851	0.0	0.0767701933851	0.389632071436	0.456827541794	26	32422.87
H3	1990s	0.0339493194392	0.0	0.0	0.267573454699	0.698477225862	23	35124.71
H3	2000s	0.0	0.0	0.0	0.183942850381	0.816057149619	27	41407.1
