Dependency=HVAC System Cooling	Option=400 cfm/ton	Option=350 cfm/ton	Option=280 cfm/ton	Option=None
"AC, SEER 10"	1	0	0	0
"AC, SEER 13"	1	0	0	0
"AC, SEER 15"	1	0	0	0
"FIXME Room AC, EER 9.8, 20% Conditioned"	0	0	0	1
FIXME Evaporative Cooler	0	0	0	1
None	0	0	0	1
