Dependency=Location Heating Region	Dependency=Vintage	Option=Uninsulated	Option=R-13	Option=R-19	Count	Weight
H1	<1950	0.58238919145	0.29653875807	0.121072050481	23	33931.330906
H1	1950s	0.499929664848	0.287083584942	0.21298675021	11	32303.8983825
H1	1960s	0.357041979027	0.49194595741	0.151012063563	20	57052.9966439
H1	1970s	0.38435434158	0.35961559831	0.25603006011	19	40553.0811459
H1	1980s	0.0360745597326	0.519640880291	0.444284559976	17	54713.320627
H1	1990s	0.107158772038	0.526209150878	0.366632077084	16	70613.1185702
H1	2000s	0.0250837983801	0.355605365584	0.619310836036	30	108200.553724
H2	<1950	0.636809902078	0.246744258794	0.116445839128	2	6179.95232635
H2	1950s	0.551960266497	0.2411994756	0.206840257903	2	5826.88919205
H2	1960s	0.413133463726	0.433169210591	0.153697325683	1	9819.47115959
H2	1970s	0.435176325707	0.309842566482	0.254981107811	0	7132.98184463
H2	1980s	0.04387040456	0.480886959419	0.475242636021	3	8959.9008851
H2	1990s	0.129094832337	0.482401463073	0.388503704591	10	11673.0674358
H2	2000s	0.0298462608676	0.321983802525	0.648169936607	8	18109.7971565
H3	<1950	0.71626235335	0.10339388653	0.18034376012	0	698.856767643
H3	1950s	0.595666830203	0.0969744772928	0.307358692505	1	686.762425452
H3	1960s	0.525519551864	0.20527760437	0.269202843767	0	981.872196485
H3	1970s	0.482616594646	0.128015795118	0.389367610236	1	818.087009477
H3	1980s	0.0500001458402	0.204187014229	0.74581283993	0	999.928487852
H3	1990s	0.152999480899	0.212997841604	0.634002677497	0	1252.76399402
H3	2000s	0.0286352117317	0.115087983268	0.856276805	3	2400.86911907
