Dependency=Geometry House Size	Dependency=Vintage	Option=2 ACH50	Option=4 ACH50	Option=6 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Count	Weight
0-1499	<1950	0.0	0.00706458369137	0.0398362986704	0.0771247161791	0.164790246004	0.36267415297	0.195117926794	0.15339207569	28	123292.296239
0-1499	1950s	0.0035029713078	0.0286698953703	0.0816822338764	0.00880513370861	0.259900065548	0.338185743492	0.142025443579	0.137228513118	14	50618.5377015
0-1499	1960s	0.0	0.00607387345843	0.0349165553388	0.197339389979	0.31322708226	0.125314626677	0.250299845995	0.0728286262919	19	83461.1797389
0-1499	1970s	0.00757201226271	0.0259534431968	0.124485151068	0.174922259734	0.316672717746	0.209020317812	0.0717662408664	0.069607857315	21	74343.6919475
0-1499	1980s	0.0140289724353	0.0274891529341	0.206453434288	0.188529796777	0.234982543515	0.105360922674	0.0593672433333	0.163787934042	11	40126.3420879
0-1499	1990s	0.0187377864691	0.0278220145436	0.119120417066	0.266418018204	0.40000531236	0.167896451357	0.0	0.0	12	57293.7741773
0-1499	2000s	0.0258754166909	0.0708739208063	0.210596740632	0.201632130347	0.13826545452	0.240317725101	0.0188074677177	0.0936311441849	11	54454.1381079
1500-2499	<1950	0.0	0.051602765041	0.104515971905	0.200533967245	0.202933881752	0.246140115868	0.140909171101	0.0533641270877	36	127487.492714
1500-2499	1950s	0.00767441511259	0.181255603713	0.185485611244	0.0198156926503	0.277018252348	0.198655240545	0.0887742837791	0.0413209006083	16	60473.1092076
1500-2499	1960s	0.0	0.0334597684349	0.0690885166673	0.386971464305	0.290906321173	0.0641413878265	0.136324358398	0.0191081831953	24	114431.440632
1500-2499	1970s	0.0119937105023	0.118629817932	0.204377798336	0.284611161786	0.244031670005	0.0887701147102	0.0324320774019	0.0151536493262	29	122846.639682
1500-2499	1980s	0.0205393388595	0.116139133928	0.313297278387	0.283534031586	0.16737457527	0.0413595864258	0.0247981794038	0.0329578761405	15	71734.8811764
1500-2499	1990s	0.025466236	0.109116813452	0.167805654751	0.371941521262	0.264487725883	0.0611820486523	0.0	0.0	19	110337.303991
1500-2499	2000s	0.0321137256416	0.253832032305	0.270912409128	0.25705595831	0.0834853583268	0.0799696451209	0.00665956683303	0.0159713043343	30	114838.882596
2500-3499	<1950	0.0	0.10387825381	0.142691295307	0.0878241350582	0.246006067761	0.268802849679	0.150797398384	0.0	19	53266.143383
2500-3499	1950s	0.0152116366365	0.281921495932	0.195663637972	0.00670533182869	0.259468548993	0.167624145034	0.0734052036046	0.0	9	32700.9892208
2500-3499	1960s	0.0	0.0748611332629	0.104834079019	0.188359129759	0.391945979158	0.0778523307751	0.162147348027	0.0	9	43017.7053457
2500-3499	1970s	0.0279524360235	0.216953198439	0.253494802431	0.113239616401	0.268755879679	0.0880721857651	0.031531881261	0.0	15	56497.1355595
2500-3499	1980s	0.0473411919266	0.210057118751	0.384307263467	0.111567649236	0.182300516068	0.040582127305	0.0238441332465	0.0	8	33358.529918
2500-3499	1990s	0.0613760536212	0.206363064648	0.21523358291	0.153034456437	0.301221110722	0.0627717316623	0.0	0.0	15	49070.1533526
2500-3499	2000s	0.0647936235034	0.401877873164	0.290897317249	0.0885420578198	0.0795971600515	0.0686866977682	0.00560527044394	0.0	19	61006.5732204
3500+	<1950	0.0	0.0648116275653	0.260458016555	0.249974131527	0.24785054413	0.176905680223	0.0	0.0	7	18494.677664
3500+	1950s	0.00508505246646	0.189423964709	0.384617301653	0.020553221643	0.28151868465	0.118801774878	0.0	0.0	1	10543.3338701
3500+	1960s	0.0	0.0382748775499	0.156809315258	0.439336198391	0.323593207344	0.0419864014565	0.0	0.0	3	18226.934283
3500+	1970s	0.006898432808	0.107617789969	0.367873947564	0.256253202303	0.215274087337	0.0460825400191	0.0	0.0	2	24673.5828108
3500+	1980s	0.0106862093205	0.0953035610653	0.510108169163	0.230920721941	0.133559687078	0.019421651432	0.0	0.0	3	15927.9168177
3500+	1990s	0.0144218342811	0.0974632175835	0.297393021048	0.329724259036	0.229725894859	0.0312717731928	0.0	0.0	9	22507.7684792
3500+	2000s	0.0170556138226	0.21262602338	0.450271023213	0.213709994294	0.068004188876	0.0383331564145	0.0	0.0	6	24979.1760753
