Dependency=Heating Fuel	Dependency=HVAC System Is Heatpump	Option=Wood Stove	Option=None	Count	Weight
Electricity	No	0	1	266	647480.58
Electricity	Yes	0	1	2	3268.01
Fuel Oil	No	0	1	57	154545.81
Fuel Oil	Yes	0	1	0	0
Natural Gas	No	0	1	617	1945594.58
Natural Gas	Yes	0	1	0	0
Propane	No	0	1	20	48969.03
Propane	Yes	0	1	0	0
Wood	No	1	0	130	343125.8
Wood	Yes	0	1	0	0
