Dependency=HVAC System Combined	Option=400 cfm/ton	Option=350 cfm/ton	Option=280 cfm/ton	Option=None
"ASHP, SEER 10.3, 7.0 HSPF"	1	0	0	0
"ASHP, SEER 11.5, 7.5 HSPF"	1	0	0	0
"ASHP, SEER 13, 8.0 HSPF"	1	0	0	0
"ASHP, SEER 14.3, 8.5 HSPF"	1	0	0	0
"ASHP, SEER 16, 9.0 HSPF"	1	0	0	0
"FIXME Dual-Fuel ASHP, SEER 14, 8.2 HSPF"	1	0	0	0
GSHP	0	0	0	1
"FIXME MSHP, SEER 18.0, 9.6 HSPF, 60% Conditioned"	0	0	0	1
None	0	0	0	1
