Dependency=Location Heating Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heatpump	Option=Electric Baseboard	Option=Electric Boiler	Option=Electric Furnace	Option=None	Count	Weight
H3	1980s	Electricity	Yes	0	0	0	1	0	0
H3	1990s	Electricity	Yes	0	0	0	1	0	0
H3	2000s	Electricity	Yes	0	0	0	1	0	0
H3	<1950	Fuel Oil	No	0	0	0	1	1	8559.1
H3	1950s	Fuel Oil	No	0	0	0	1	1	1192.46
H3	1960s	Fuel Oil	No	0	0	0	1	1	3785.76
H3	1970s	Fuel Oil	No	0	0	0	1	0	0
H3	1980s	Fuel Oil	No	0	0	0	1	0	0
H3	1990s	Fuel Oil	No	0	0	0	1	0	0
H3	2000s	Fuel Oil	No	0	0	0	1	1	1925.05
H3	<1950	Fuel Oil	Yes	0	0	0	1	0	0
H3	1950s	Fuel Oil	Yes	0	0	0	1	0	0
H3	1960s	Fuel Oil	Yes	0	0	0	1	0	0
H3	1970s	Fuel Oil	Yes	0	0	0	1	0	0
H3	1980s	Fuel Oil	Yes	0	0	0	1	0	0
H3	1990s	Fuel Oil	Yes	0	0	0	1	0	0
H3	2000s	Fuel Oil	Yes	0	0	0	1	0	0
H3	<1950	Natural Gas	No	0	0	0	1	22	44589.4
H3	1950s	Natural Gas	No	0	0	0	1	12	22437.76
H3	1960s	Natural Gas	No	0	0	0	1	9	16267.08
H3	1970s	Natural Gas	No	0	0	0	1	15	31328.12
H3	1980s	Natural Gas	No	0	0	0	1	9	16314.87
H3	1990s	Natural Gas	No	0	0	0	1	12	18714.88
H3	2000s	Natural Gas	No	0	0	0	1	20	30035.82
H3	<1950	Natural Gas	Yes	0	0	0	1	0	0
H3	1950s	Natural Gas	Yes	0	0	0	1	0	0
H3	1960s	Natural Gas	Yes	0	0	0	1	0	0
H3	1970s	Natural Gas	Yes	0	0	0	1	0	0
H3	1980s	Natural Gas	Yes	0	0	0	1	0	0
H3	1990s	Natural Gas	Yes	0	0	0	1	0	0
H3	2000s	Natural Gas	Yes	0	0	0	1	0	0
H3	<1950	Propane	No	0	0	0	1	0	0
H3	1950s	Propane	No	0	0	0	1	0	0
H3	1960s	Propane	No	0	0	0	1	1	3785.76
H3	1970s	Propane	No	0	0	0	1	1	2130.88
H3	1980s	Propane	No	0	0	0	1	3	4468.01
H3	1990s	Propane	No	0	0	0	1	1	1192.46
H3	2000s	Propane	No	0	0	0	1	0	0
H3	<1950	Propane	Yes	0	0	0	1	0	0
H3	1950s	Propane	Yes	0	0	0	1	0	0
H3	1960s	Propane	Yes	0	0	0	1	0	0
H3	1970s	Propane	Yes	0	0	0	1	0	0
H3	1980s	Propane	Yes	0	0	0	1	0	0
H3	1990s	Propane	Yes	0	0	0	1	0	0
H3	2000s	Propane	Yes	0	0	0	1	0	0
H3	<1950	Wood	No	0	0	0	1	4	13553.87
H3	1950s	Wood	No	0	0	0	1	1	1904.28
H3	1960s	Wood	No	0	0	0	1	4	7331.48
H3	1970s	Wood	No	0	0	0	1	3	5406.43
H3	1980s	Wood	No	0	0	0	1	3	4420.22
H3	1990s	Wood	No	0	0	0	1	4	4626.47
H3	2000s	Wood	No	0	0	0	1	2	3275.55
H3	<1950	Wood	Yes	0	0	0	1	0	0
H3	1950s	Wood	Yes	0	0	0	1	0	0
H3	1960s	Wood	Yes	0	0	0	1	0	0
H3	1970s	Wood	Yes	0	0	0	1	0	0
H3	1980s	Wood	Yes	0	0	0	1	0	0
H3	1990s	Wood	Yes	0	0	0	1	0	0
H3	2000s	Wood	Yes	0	0	0	1	0	0
