Dependency=Geometry House Size	Dependency=Vintage	Option=1	Option=2+	Count	Weight
0-1499	<1950	0.78893150083	0.21106849917	120	205381.050895
0-1499	1950s	0.954777884917	0.0452221150827	53	138706.143414
0-1499	1960s	0.925614624423	0.0743853755773	47	179007.139142
0-1499	1970s	0.902579459318	0.0974205406819	58	199508.855395
0-1499	1980s	0.83344438627	0.16655561373	32	105202.106517
0-1499	1990s	0.825270706865	0.174729293135	43	137094.469601
0-1499	2000s	0.75379989194	0.24620010806	26	118946.575036
1500-2499	<1950	0.373772758687	0.626227241313	144	377866.035989
1500-2499	1950s	0.771240746349	0.228759253651	53	149676.602429
1500-2499	1960s	0.665218292279	0.334781707721	75	217111.191756
1500-2499	1970s	0.596681663859	0.403318336141	93	263057.546633
1500-2499	1980s	0.444152904413	0.555847095587	56	172073.657559
1500-2499	1990s	0.429941829298	0.570058170702	73	229378.390206
1500-2499	2000s	0.328367085363	0.671632914637	75	238009.465427
2500-3499	<1950	0.211411822289	0.788588177711	61	177751.337518
2500-3499	1950s	0.602276471057	0.397723528943	23	50997.000042
2500-3499	1960s	0.471597012132	0.528402987868	28	81483.9348358
2500-3499	1970s	0.399220673229	0.600779326771	43	104610.933665
2500-3499	1980s	0.264113821571	0.735886178429	23	76993.20717
2500-3499	1990s	0.253040874594	0.746959125406	38	103697.470774
2500-3499	2000s	0.180058569513	0.819941430487	53	115487.955995
3500+	<1950	0.177876206566	0.822123793434	10	64618.3355975
3500+	1950s	0.549980664099	0.450019335901	4	17081.4441154
3500+	1960s	0.418702676645	0.581297323355	8	28071.7042664
3500+	1970s	0.349081216479	0.650918783521	8	36592.7543061
3500+	1980s	0.224599262868	0.775400737132	9	27692.7887534
3500+	1990s	0.214699623224	0.785300376776	24	37381.6994192
3500+	2000s	0.150546954933	0.849453045067	19	42248.3735419
