Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.013108	0.016007	0.004916	0.034787	0.067557	0.008697	0.250107	0.014971	0.589852	0.000000	0.000000
AL, 00200	0.064689	0.101378	0.000000	0.000000	0.113447	0.025586	0.149179	0.014276	0.531445	0.000000	0.000000
AL, 00301	0.185495	0.000000	0.068272	0.014685	0.095581	0.043540	0.085005	0.025432	0.481991	0.000000	0.000000
AL, 00302	0.085701	0.000000	0.046449	0.017664	0.105328	0.152431	0.085005	0.014800	0.492623	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.003613	0.001945	0.012506	0.000000	0.570942	0.012390	0.398604	0.000000	0.000000
AL, 00500	0.015489	0.000000	0.036141	0.036141	0.051630	0.000000	0.204145	0.005134	0.651320	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.027106	0.102717	0.000000	0.360007	0.000000	0.510169	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.001447	0.003145	0.000000	0.000126	0.436151	0.000000	0.559132	0.000000	0.000000
AL, 00800	0.038347	0.000000	0.029399	0.035791	0.076055	0.000000	0.445546	0.007279	0.367583	0.000000	0.000000
AL, 00900	0.000000	0.040539	0.041806	0.000000	0.027871	0.000000	0.347487	0.000000	0.542296	0.000000	0.000000
AL, 01000	0.000000	0.021880	0.000000	0.008619	0.022101	0.008619	0.625113	0.003579	0.310087	0.000000	0.000000
AL, 01100	0.000000	0.012971	0.000000	0.000000	0.052424	0.008107	0.726035	0.021795	0.178667	0.000000	0.000000
AL, 01200	0.053052	0.025962	0.073088	0.000000	0.050795	0.103283	0.141102	0.037764	0.514954	0.000000	0.000000
AL, 01301	0.060182	0.021191	0.000000	0.020343	0.149184	0.027972	0.071228	0.000000	0.649900	0.000000	0.000000
AL, 01302	0.015707	0.000000	0.043861	0.013336	0.087425	0.118543	0.071228	0.134106	0.515793	0.000000	0.000000
