Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 80 gal	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless
CR02	Electricity	0.063696	0.393683	0.521745	0.020875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.344274	0.609526	0.046199	0.000000	0.000000	0.000000	0.000000
CR02	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.204941	0.611772	0.183288
CR03	Electricity	0.063135	0.387867	0.516752	0.032246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.318978	0.088197	0.592825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.310220	0.624923	0.064857	0.000000	0.000000	0.000000	0.000000
CR03	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR03	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.312520	0.456261	0.231218
CR04	Electricity	0.067948	0.334516	0.559539	0.037997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.287800	0.675847	0.036353	0.000000	0.000000	0.000000	0.000000
CR04	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.254269	0.561798	0.183934
CR05	Electricity	0.065090	0.373014	0.534138	0.027758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.312006	0.645320	0.042676	0.000000	0.000000	0.000000	0.000000
CR05	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.340025	0.467368	0.192607
