Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=2020s	Option=2030s	Option=2040s	Option=2050s	sample_count	sample_weight
AL, 00100	10 to 19 Unit	 0.000000	0.006660	0.009324	 0.053122	 0.238792	 0.137273	 0.142576	 0.042653	 0.118472	 0.152860	 0.098767	-0.000500	0.000000	0.000000	0.000000
AL, 00100	2 Unit	 0.020002	0.017446	0.044114	 0.138187	 0.154785	 0.056881	 0.106265	 0.124533	 0.108276	 0.139703	 0.090266	-0.000457	0.000000	0.000000	0.000000
AL, 00100	20 to 49 Unit	 0.011271	0.000000	0.046048	 0.125097	 0.095869	 0.118862	 0.227041	 0.061626	 0.100710	 0.129942	 0.083959	-0.000425	0.000000	0.000000	0.000000
AL, 00100	3 or 4 Unit	 0.017062	0.006818	0.060738	 0.044395	 0.100308	 0.137337	 0.125276	 0.051687	 0.146290	 0.188751	 0.121957	-0.000618	0.000000	0.000000	0.000000
AL, 00100	5 to 9 Unit	 0.003045	0.000768	0.008157	 0.006986	 0.109246	 0.076575	 0.155356	 0.090908	 0.175965	 0.227040	 0.146697	-0.000743	0.000000	0.000000	0.000000
AL, 00100	50 or more Unit	 0.044874	0.025824	0.037845	 0.048270	 0.264794	 0.051201	 0.150453	 0.048881	 0.105092	 0.135596	 0.087612	-0.000444	0.000000	0.000000	0.000000
AL, 00100	Mobile Home	 0.000879	0.002382	0.002382	 0.027224	 0.027224	 0.224163	 0.224163	 0.050953	 0.031094	 0.173483	 0.236052	 0.000000	0.000000	0.000000	0.000000
AL, 00100	Single-Family Attached	 0.000000	0.050956	0.020074	 0.050728	 0.153263	 0.126128	 0.086488	 0.014212	 0.071351	 0.243255	 0.183545	 0.000000	0.000000	0.000000	0.000000
AL, 00100	Single-Family Detached	 0.043848	0.031890	0.078573	 0.124684	 0.158742	 0.092626	 0.112588	 0.101226	 0.036642	 0.124922	 0.094259	 0.000000	0.000000	0.000000	0.000000
AL, 00200	10 to 19 Unit	 0.003041	0.000000	0.000000	 0.035389	 0.054240	 0.147982	 0.106038	 0.071670	 0.098343	 0.231443	 0.252365	-0.000511	0.000000	0.000000	0.000000
AL, 00200	2 Unit	 0.002689	0.024229	0.015143	 0.034796	 0.050002	 0.017917	 0.035833	 0.013498	 0.136260	 0.320677	 0.349665	-0.000709	0.000000	0.000000	0.000000
AL, 00200	20 to 49 Unit	 0.024951	0.000000	0.000000	 0.081410	 0.325640	 0.262945	 0.058003	 0.247051	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00200	3 or 4 Unit	 0.009367	0.000000	0.086331	 0.039731	 0.285245	 0.335330	 0.088550	 0.155446	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00200	5 to 9 Unit	 0.001914	0.000000	0.000000	 0.014569	 0.034966	 0.062577	 0.153329	 0.090737	 0.108533	 0.255425	 0.278514	-0.000564	0.000000	0.000000	0.000000
AL, 00200	50 or more Unit	 0.009353	0.000000	0.000000	 0.031536	 0.115971	 0.027542	 0.075379	 0.032611	 0.119642	 0.281568	 0.307020	-0.000622	0.000000	0.000000	0.000000
AL, 00200	Mobile Home	 0.000908	0.000861	0.000861	 0.028906	 0.028906	 0.193166	 0.193166	 0.054724	 0.022962	 0.171199	 0.304341	 0.000000	0.000000	0.000000	0.000000
AL, 00200	Single-Family Attached	 0.000000	0.000000	0.011200	 0.045884	 0.030330	 0.028548	 0.025189	 0.178900	 0.166232	 0.259537	 0.254180	 0.000000	0.000000	0.000000	0.000000
AL, 00200	Single-Family Detached	 0.007990	0.016456	0.033263	 0.059709	 0.081332	 0.072838	 0.124840	 0.142385	 0.112750	 0.176036	 0.172402	 0.000000	0.000000	0.000000	0.000000
AL, 00301	10 to 19 Unit	 0.002634	0.001419	0.006486	 0.021597	 0.045705	 0.091555	 0.104804	 0.064247	 0.126800	 0.260239	 0.275151	-0.000636	0.000000	0.000000	0.000000
AL, 00301	2 Unit	 0.028059	0.008636	0.082040	 0.044940	 0.365941	 0.212744	 0.210638	 0.047003	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00301	20 to 49 Unit	 0.006984	0.000000	0.003224	 0.035954	 0.023703	 0.114031	 0.068681	 0.101860	 0.123736	 0.253949	 0.268500	-0.000621	0.000000	0.000000	0.000000
AL, 00301	3 or 4 Unit	 0.010989	0.000000	0.051152	 0.064113	 0.130321	 0.218601	 0.233450	 0.072894	 0.041876	 0.085945	 0.090869	-0.000210	0.000000	0.000000	0.000000
AL, 00301	5 to 9 Unit	 0.004198	0.000000	0.009205	 0.033777	 0.105333	 0.098793	 0.093594	 0.111855	 0.104124	 0.213699	 0.225944	-0.000522	0.000000	0.000000	0.000000
AL, 00301	50 or more Unit	 0.009949	0.000000	0.007655	 0.033767	 0.078537	 0.116141	 0.122116	 0.045333	 0.112415	 0.230716	 0.243936	-0.000564	0.000000	0.000000	0.000000
AL, 00301	Mobile Home	 0.001172	0.001631	0.001631	 0.035935	 0.035935	 0.249571	 0.249571	 0.082389	 0.021111	 0.077921	 0.243133	 0.000000	0.000000	0.000000	0.000000
AL, 00301	Single-Family Attached	 0.000000	0.000000	0.000000	 0.013951	 0.054453	 0.171135	 0.013600	 0.150554	 0.147243	 0.235733	 0.213331	 0.000000	0.000000	0.000000	0.000000
AL, 00301	Single-Family Detached	 0.007658	0.006106	0.044574	 0.095139	 0.063024	 0.091813	 0.147399	 0.140433	 0.099722	 0.159652	 0.144481	 0.000000	0.000000	0.000000	0.000000
AL, 00302	10 to 19 Unit	 0.001416	0.000000	0.001538	 0.018284	 0.064196	 0.208423	 0.072337	 0.087516	 0.104707	 0.214897	 0.227210	-0.000525	0.000000	0.000000	0.000000
AL, 00302	2 Unit	 0.050643	0.065516	0.106415	 0.256721	 0.220365	 0.067260	 0.203702	 0.029379	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00302	20 to 49 Unit	 0.000000	0.000000	0.004435	 0.060270	 0.075615	 0.126413	 0.049320	 0.139089	 0.104433	 0.214334	 0.226615	-0.000524	0.000000	0.000000	0.000000
AL, 00302	3 or 4 Unit	 0.011716	0.010336	0.034231	 0.077470	 0.117042	 0.249730	 0.180922	 0.110344	 0.039908	 0.081905	 0.086598	-0.000200	0.000000	0.000000	0.000000
AL, 00302	5 to 9 Unit	 0.006276	0.002260	0.007505	 0.048778	 0.071783	 0.202711	 0.055490	 0.076868	 0.101265	 0.207832	 0.219741	-0.000508	0.000000	0.000000	0.000000
AL, 00302	50 or more Unit	 0.004875	0.001677	0.001456	 0.010547	 0.026109	 0.031349	 0.049038	 0.038797	 0.160265	 0.328921	 0.347768	-0.000804	0.000000	0.000000	0.000000
AL, 00302	Mobile Home	 0.001172	0.001631	0.001631	 0.035935	 0.035935	 0.249571	 0.249571	 0.082389	 0.021111	 0.077921	 0.243133	 0.000000	0.000000	0.000000	0.000000
AL, 00302	Single-Family Attached	 0.000690	0.000000	0.010164	 0.038127	 0.061308	 0.315471	 0.080845	 0.182151	 0.076854	 0.123041	 0.111349	 0.000000	0.000000	0.000000	0.000000
AL, 00302	Single-Family Detached	 0.007662	0.011186	0.039297	 0.100281	 0.057010	 0.146212	 0.084760	 0.139127	 0.102342	 0.163847	 0.148277	 0.000000	0.000000	0.000000	0.000000
AL, 00400	10 to 19 Unit	 0.000000	0.000000	0.000000	 0.116844	 0.261508	 0.437409	 0.054676	 0.129563	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00400	2 Unit	 0.050388	0.003182	0.075296	 0.231662	 0.224705	 0.115533	 0.206455	 0.092779	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00400	20 to 49 Unit	 0.000000	0.000000	0.000000	 0.040377	 0.035891	 0.176346	 0.000000	 0.289665	 0.180420	 0.187121	 0.092003	-0.001823	0.000000	0.000000	0.000000
AL, 00400	3 or 4 Unit	 0.000000	0.000000	0.045604	 0.147185	 0.224965	 0.177560	 0.219892	 0.119057	 0.025912	 0.026874	 0.013213	-0.000262	0.000000	0.000000	0.000000
AL, 00400	5 to 9 Unit	 0.000000	0.050836	0.000000	 0.000000	 0.141033	 0.309267	 0.183648	 0.069858	 0.096713	 0.100304	 0.049317	-0.000977	0.000000	0.000000	0.000000
AL, 00400	50 or more Unit	 0.000000	0.000000	0.000000	 0.000000	 0.000000	 0.107434	 0.680416	 0.212150	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00400	Mobile Home	 0.000113	0.003207	0.003207	 0.036670	 0.036670	 0.240538	 0.240538	 0.060349	 0.009465	 0.161027	 0.208216	 0.000000	0.000000	0.000000	0.000000
AL, 00400	Single-Family Attached	 0.043528	0.009923	0.005670	 0.052454	 0.197711	 0.079125	 0.175513	 0.044925	 0.066214	 0.204762	 0.120175	 0.000000	0.000000	0.000000	0.000000
AL, 00400	Single-Family Detached	 0.056067	0.043604	0.063554	 0.094754	 0.181330	 0.106045	 0.110787	 0.128935	 0.036383	 0.112510	 0.066032	 0.000000	0.000000	0.000000	0.000000
AL, 00500	10 to 19 Unit	 0.030810	0.016210	0.003474	 0.105296	 0.119819	 0.108546	 0.044834	 0.230823	 0.068688	 0.142095	 0.129968	-0.000562	0.000000	0.000000	0.000000
AL, 00500	2 Unit	 0.053773	0.005212	0.127313	 0.199619	 0.264991	 0.206357	 0.042485	 0.100251	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00500	20 to 49 Unit	 0.006209	0.000000	0.017152	 0.000000	 0.036497	 0.062419	 0.009987	 0.027851	 0.169582	 0.350816	 0.320874	-0.001387	0.000000	0.000000	0.000000
AL, 00500	3 or 4 Unit	 0.007764	0.003830	0.007659	 0.087667	 0.163325	 0.245848	 0.177167	 0.044200	 0.053010	 0.109662	 0.100303	-0.000434	0.000000	0.000000	0.000000
AL, 00500	5 to 9 Unit	 0.000000	0.000000	0.009430	 0.011500	 0.238760	 0.202147	 0.133815	 0.062297	 0.069064	 0.142873	 0.130679	-0.000565	0.000000	0.000000	0.000000
AL, 00500	50 or more Unit	 0.062279	0.000000	0.174259	 0.014012	 0.581486	 0.000000	 0.027318	 0.140645	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00500	Mobile Home	 0.000129	0.000421	0.000421	 0.029286	 0.029286	 0.261041	 0.261041	 0.043894	 0.013547	 0.150898	 0.210036	 0.000000	0.000000	0.000000	0.000000
AL, 00500	Single-Family Attached	 0.012054	0.049782	0.019480	 0.009971	 0.114672	 0.151894	 0.056960	 0.212787	 0.078051	 0.153434	 0.140914	 0.000000	0.000000	0.000000	0.000000
AL, 00500	Single-Family Detached	 0.028414	0.019769	0.051924	 0.086860	 0.103888	 0.100353	 0.135611	 0.133109	 0.071276	 0.140115	 0.128681	 0.000000	0.000000	0.000000	0.000000
AL, 00600	10 to 19 Unit	 0.000000	0.000000	0.029811	 0.162403	 0.243067	 0.267577	 0.257325	 0.039816	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00600	2 Unit	 0.022288	0.019515	0.067081	 0.138785	 0.150490	 0.291680	 0.290086	 0.020076	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00600	20 to 49 Unit	 0.058310	0.000000	0.093600	 0.143876	 0.058328	 0.244636	 0.146411	 0.254839	 0.000000	 0.000000	 0.000000	 0.000000	0.000000	0.000000	0.000000
AL, 00600	3 or 4 Unit	 0.006608	0.000000	0.044948	 0.019632	 0.126516	 0.197529	 0.186093	 0.216068	 0.043613	 0.087077	 0.072367	-0.000451	0.000000	0.000000	0.000000
