occupants,cooking_range,plug_loads,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,clothes_washer,clothes_dryer,dishwasher,baths,showers,sinks,ceiling_fan,clothes_dryer_exhaust,clothes_washer_power,dishwasher_power,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,vacancy
1,0.046666667,0.65564912,0.123751072,0.123751072,0.123751072,0,0,0,0,0,0,0,0.559346533,0,0,0,1,0.508543156,0.02484472,0.508543156,0.508543156,0
1,0.046666667,0.618183456,0.074250643,0.074250643,0.074250643,0,0,0,0,0,0,0,0.517395543,0,0,0,1,0.265829377,0.00621118,0.265829377,0.265829377,0
1,0.026666667,0.599450624,0.049500429,0.049500429,0.049500429,0,0,0,0,0,0,0,0.517395543,0,0,0,1,0.219598181,0.00621118,0.219598181,0.219598181,0
1,0.026666667,0.580717792,0.049500429,0.049500429,0.049500429,0,0,0,0,0,0,0,0.503411879,0,0,0,1,0.173366985,0.01242236,0.173366985,0.173366985,0
1,0.046666667,0.599450624,0.055033338,0.055033338,0.055033338,0,0,0,0,0,0,0,0.461460889,0,0,0,1,0.184924784,0.043478261,0.184924784,0.184924784,0
1,0.073333333,0.618183456,0.151005022,0.151005022,0.151005022,0,0,0,0,0,0,0,0.503411879,0,0,0,1,0.208040382,0.074534161,0.208040382,0.208040382,0
1,0.166666667,0.693114784,0.354518108,0.354518108,0.354518108,0,0,0,0,0,0,1.54E-02,0.601297523,0,0,0,1,0.300502774,0.180124224,0.300502774,0.300502774,0
0.88,0.28,0.786778944,0.448633526,0.448633526,0.448633526,0,0,0,0,0,0,3.83E-02,0.657232176,0.98076923,0,0,1,0.381407367,0.285714286,0.381407367,0.381407367,0
0.41,0.306666667,0.805511776,0.476771435,0.476771435,0.476771435,0,1,0,0,0,0,0,0.475444553,0.365384616,1,0,1,0.381407367,0.273291925,0.381407367,0.381407367,0
0.24,0.32,0.805511776,0.490087694,0.490087694,0.490087694,0,0,1,0,0,0,0,0.321624256,0,0,0,1,0.369849568,0.254658385,0.369849568,0.369849568,0
0.24,0.28,0.805511776,0.476762548,0.476762548,0.476762548,0,0,0,0,0,0,0,0.33560792,0,0,0,1,0.381407367,0.273291925,0.381407367,0.381407367,0
0.24,0.333333333,0.824244608,0.458300918,0.458300918,0.458300918,0,0,0,0,0,0,2.17E-02,0.349591583,0,0,0,1,0.381407367,0.285714286,0.381407367,0.381407367,0
0.24,0.38,0.84297744,0.444975771,0.444975771,0.444975771,0,0,0,0,0,0,0.136879324,0.33560792,0,0,0,1,0.369849568,0.260869565,0.369849568,0.369849568,0
0.24,0.306666667,0.84297744,0.441054651,0.441054651,0.441054651,0,0,0,0,0,0,0,0.391542573,0,0,0,1,0.369849568,0.236024845,0.369849568,0.369849568,0
0.24,0.38,0.824244608,0.447927144,0.447927144,0.447927144,0,0,0,0,0,0,0.080778761,0.433493563,0.346153846,0,0,1,0.369849568,0.304347826,0.369849568,0.369849568,0
