Dependency=Location	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AL_Birmingham.Muni.AP.722280	<1950	0.280000	0.000000	0.430000	0.000000	0.060000	0.230000
AL_Birmingham.Muni.AP.722280	1950s	0.220000	0.000000	0.660000	0.000000	0.100000	0.030000
AL_Birmingham.Muni.AP.722280	1960s	0.310000	0.000000	0.530000	0.000000	0.080000	0.090000
AL_Birmingham.Muni.AP.722280	1970s	0.540000	0.000000	0.230000	0.000000	0.040000	0.180000
AL_Birmingham.Muni.AP.722280	1980s	0.500000	0.000000	0.260000	0.000000	0.100000	0.140000
AL_Birmingham.Muni.AP.722280	1990s	0.630000	0.000000	0.220000	0.000000	0.030000	0.120000
AL_Birmingham.Muni.AP.722280	2000s	0.550000	0.000000	0.290000	0.000000	0.050000	0.110000
AL_Huntsville.Intl.AP-Jones.Field.723230	<1950	0.280000	0.000000	0.430000	0.000000	0.060000	0.230000
AL_Huntsville.Intl.AP-Jones.Field.723230	1950s	0.220000	0.000000	0.660000	0.000000	0.100000	0.030000
AL_Huntsville.Intl.AP-Jones.Field.723230	1960s	0.310000	0.000000	0.530000	0.000000	0.080000	0.090000
AL_Huntsville.Intl.AP-Jones.Field.723230	1970s	0.540000	0.000000	0.230000	0.000000	0.040000	0.180000
AL_Huntsville.Intl.AP-Jones.Field.723230	1980s	0.500000	0.000000	0.260000	0.000000	0.100000	0.140000
AL_Huntsville.Intl.AP-Jones.Field.723230	1990s	0.630000	0.000000	0.220000	0.000000	0.030000	0.120000
AL_Huntsville.Intl.AP-Jones.Field.723230	2000s	0.550000	0.000000	0.290000	0.000000	0.050000	0.110000
AL_Mobile-Rgnl.AP.722230	<1950	0.280000	0.000000	0.430000	0.000000	0.060000	0.230000
AL_Mobile-Rgnl.AP.722230	1950s	0.220000	0.000000	0.660000	0.000000	0.100000	0.030000
AL_Mobile-Rgnl.AP.722230	1960s	0.310000	0.000000	0.530000	0.000000	0.080000	0.090000
AL_Mobile-Rgnl.AP.722230	1970s	0.540000	0.000000	0.230000	0.000000	0.040000	0.180000
AL_Mobile-Rgnl.AP.722230	1980s	0.500000	0.000000	0.260000	0.000000	0.100000	0.140000
AL_Mobile-Rgnl.AP.722230	1990s	0.630000	0.000000	0.220000	0.000000	0.030000	0.120000
AL_Mobile-Rgnl.AP.722230	2000s	0.550000	0.000000	0.290000	0.000000	0.050000	0.110000
AL_Montgomery-Dannelly.Field.722260	<1950	0.280000	0.000000	0.430000	0.000000	0.060000	0.230000
AL_Montgomery-Dannelly.Field.722260	1950s	0.220000	0.000000	0.660000	0.000000	0.100000	0.030000
