Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Electric	Option=Gas	Option=None	sample_count	sample_weight
Single-Family Detached	CR02	0.051535	0.003260	0.945205	688.000000	4320619.000000
Single-Family Detached	CR03	0.063213	0.000000	0.936787	535.000000	3089118.000000
Single-Family Detached	CR04	0.052456	0.014981	0.932563	666.000000	10702742.000000
Single-Family Detached	CR05	0.068006	0.003482	0.928513	303.000000	2815783.750000
Single-Family Detached	CR06	0.109019	0.009898	0.881082	226.000000	2329728.000000
Single-Family Detached	CR07	0.073471	0.025779	0.900750	654.000000	7763908.500000
Single-Family Detached	CR08	0.052106	0.001951	0.945943	1306.000000	9230493.000000
Single-Family Detached	CR09	0.047062	0.017627	0.935312	2178.000000	21322996.000000
Single-Family Detached	CR10	0.077236	0.040079	0.882685	243.000000	2698771.500000
Single-Family Detached	CR11	0.060230	0.068871	0.870899	944.000000	7058214.000000
Created by: recs/2009/tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata						
