Dependency=Vintage	Dependency=Location Region	Option=Unfinished Attic	Option=Finished Attic or Cathedral Ceilings	Option=None
<1950	CR02	0.910000	0.090000	0.000000
<1950	CR03	0.950000	0.050000	0.000000
<1950	CR04	0.820000	0.180000	0.000000
<1950	CR05	0.870000	0.130000	0.000000
<1950	CR06	0.920000	0.080000	0.000000
<1950	CR07	0.820000	0.180000	0.000000
<1950	CR08	0.870000	0.130000	0.000000
<1950	CR09	0.920000	0.080000	0.000000
<1950	CR10	0.880000	0.120000	0.000000
<1950	CR11	0.870000	0.130000	0.000000
1950s	CR02	0.880000	0.120000	0.000000
1950s	CR03	0.980000	0.020000	0.000000
1950s	CR04	0.920000	0.080000	0.000000
1950s	CR05	0.950000	0.050000	0.000000
1950s	CR06	0.710000	0.290000	0.000000
1950s	CR07	0.830000	0.170000	0.000000
1950s	CR08	0.830000	0.170000	0.000000
1950s	CR09	0.920000	0.080000	0.000000
1950s	CR10	1.000000	0.000000	0.000000
1950s	CR11	0.890000	0.110000	0.000000
1960s	CR02	0.930000	0.070000	0.000000
1960s	CR03	0.920000	0.080000	0.000000
1960s	CR04	0.830000	0.170000	0.000000
1960s	CR05	0.920000	0.080000	0.000000
1960s	CR06	0.840000	0.160000	0.000000
1960s	CR07	0.820000	0.180000	0.000000
1960s	CR08	0.930000	0.070000	0.000000
1960s	CR09	0.890000	0.110000	0.000000
1960s	CR10	0.930000	0.070000	0.000000
1960s	CR11	0.850000	0.150000	0.000000
1970s	CR02	0.870000	0.130000	0.000000
1970s	CR03	0.730000	0.270000	0.000000
1970s	CR04	0.860000	0.140000	0.000000
1970s	CR05	0.860000	0.140000	0.000000
1970s	CR06	0.800000	0.200000	0.000000
1970s	CR07	0.820000	0.180000	0.000000
1970s	CR08	0.900000	0.100000	0.000000
1970s	CR09	0.840000	0.160000	0.000000
1970s	CR10	0.860000	0.140000	0.000000
1970s	CR11	0.640000	0.360000	0.000000
1980s	CR02	0.760000	0.240000	0.000000
1980s	CR03	0.540000	0.460000	0.000000
1980s	CR04	0.600000	0.400000	0.000000
1980s	CR05	0.590000	0.410000	0.000000
1980s	CR06	0.730000	0.270000	0.000000
1980s	CR07	0.680000	0.320000	0.000000
1980s	CR08	0.750000	0.250000	0.000000
1980s	CR09	0.730000	0.270000	0.000000
1980s	CR10	0.600000	0.400000	0.000000
1980s	CR11	0.530000	0.470000	0.000000
1990s	CR02	0.510000	0.490000	0.000000
1990s	CR03	0.760000	0.240000	0.000000
1990s	CR04	0.670000	0.330000	0.000000
1990s	CR05	0.460000	0.540000	0.000000
1990s	CR06	0.350000	0.650000	0.000000
1990s	CR07	0.710000	0.290000	0.000000
1990s	CR08	0.610000	0.390000	0.000000
1990s	CR09	0.630000	0.370000	0.000000
1990s	CR10	0.430000	0.570000	0.000000
1990s	CR11	0.470000	0.530000	0.000000
2000s	CR02	0.680000	0.320000	0.000000
2000s	CR03	0.480000	0.520000	0.000000
2000s	CR04	0.600000	0.400000	0.000000
2000s	CR05	0.540000	0.460000	0.000000
2000s	CR06	0.450000	0.550000	0.000000
2000s	CR07	0.460000	0.540000	0.000000
2000s	CR08	0.490000	0.510000	0.000000
2000s	CR09	0.600000	0.400000	0.000000
2000s	CR10	0.740000	0.260000	0.000000
2000s	CR11	0.500000	0.500000	0.000000
