Dependency=Heating Fuel	Dependency=Location Region	Dependency=Usage Level	"Option=Gas, 80% Usage"	"Option=Gas, 100% Usage"	"Option=Gas, 120% Usage"	"Option=Propane, 80% Usage"	"Option=Propane, 100% Usage"	"Option=Propane, 120% Usage"	"Option=Electric, 80% Usage"	"Option=Electric, 100% Usage"	"Option=Electric, 120% Usage"	Option=None
Electricity	CR02	Average	0	0.04	0	0	0.02	0	0	0.93	0	0.01
Fuel Oil	CR02	Average	0	0.06	0	0	0	0	0	0.92	0	0.02
Natural Gas	CR02	Average	0	0.3	0	0	0	0	0	0.67	0	0.03
None	CR02	Average	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR02	Average	0	0.07	0	0	0	0	0	0.8	0	0.13
Propane	CR02	Average	0	0	0	0	0.21	0	0	0.77	0	0.02
Electricity	CR02	Low	0.04	0	0	0.02	0	0	0.93	0	0	0.01
Fuel Oil	CR02	Low	0.06	0	0	0	0	0	0.92	0	0	0.02
Natural Gas	CR02	Low	0.3	0	0	0	0	0	0.67	0	0	0.03
None	CR02	Low	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR02	Low	0.07	0	0	0	0	0	0.8	0	0	0.13
Propane	CR02	Low	0	0	0	0.21	0	0	0.77	0	0	0.02
Electricity	CR02	Medium	0	0.04	0	0	0.02	0	0	0.93	0	0.01
Fuel Oil	CR02	Medium	0	0.06	0	0	0	0	0	0.92	0	0.02
Natural Gas	CR02	Medium	0	0.3	0	0	0	0	0	0.67	0	0.03
None	CR02	Medium	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR02	Medium	0	0.07	0	0	0	0	0	0.8	0	0.13
Propane	CR02	Medium	0	0	0	0	0.21	0	0	0.77	0	0.02
Electricity	CR02	High	0	0	0.04	0	0	0.02	0	0	0.93	0.01
Fuel Oil	CR02	High	0	0	0.06	0	0	0	0	0	0.92	0.02
Natural Gas	CR02	High	0	0	0.3	0	0	0	0	0	0.67	0.03
None	CR02	High	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR02	High	0	0	0.07	0	0	0	0	0	0.8	0.13
Propane	CR02	High	0	0	0	0	0	0.21	0	0	0.77	0.02
Electricity	CR03	Average	0	0	0	0	0	0	0	0.94	0	0.06
Fuel Oil	CR03	Average	0	0.02	0	0	0.02	0	0	0.9	0	0.05
Natural Gas	CR03	Average	0	0.33	0	0	0	0	0	0.63	0	0.04
None	CR03	Average	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR03	Average	0	0.01	0	0	0.02	0	0	0.92	0	0.05
Propane	CR03	Average	0	0	0	0	0.09	0	0	0.91	0	0
Electricity	CR03	Low	0	0	0	0	0	0	0.94	0	0	0.06
Fuel Oil	CR03	Low	0.02	0	0	0.02	0	0	0.9	0	0	0.05
Natural Gas	CR03	Low	0.33	0	0	0	0	0	0.63	0	0	0.04
None	CR03	Low	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR03	Low	0.01	0	0	0.02	0	0	0.92	0	0	0.05
Propane	CR03	Low	0	0	0	0.09	0	0	0.91	0	0	0
Electricity	CR03	Medium	0	0	0	0	0	0	0	0.94	0	0.06
Fuel Oil	CR03	Medium	0	0.02	0	0	0.02	0	0	0.9	0	0.05
Natural Gas	CR03	Medium	0	0.33	0	0	0	0	0	0.63	0	0.04
None	CR03	Medium	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR03	Medium	0	0.01	0	0	0.02	0	0	0.92	0	0.05
Propane	CR03	Medium	0	0	0	0	0.09	0	0	0.91	0	0
Electricity	CR03	High	0	0	0	0	0	0	0	0	0.94	0.06
Fuel Oil	CR03	High	0	0	0.02	0	0	0.02	0	0	0.9	0.05
Natural Gas	CR03	High	0	0	0.33	0	0	0	0	0	0.63	0.04
None	CR03	High	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR03	High	0	0	0.01	0	0	0.02	0	0	0.92	0.05
Propane	CR03	High	0	0	0	0	0	0.09	0	0	0.91	0
Electricity	CR04	Average	0	0.04	0	0	0.02	0	0	0.86	0	0.07
Fuel Oil	CR04	Average	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR04	Average	0	0.43	0	0	0	0	0	0.53	0	0.04
None	CR04	Average	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR04	Average	0	0.07	0	0	0	0	0	0.84	0	0.09
Propane	CR04	Average	0	0	0	0	0.16	0	0	0.84	0	0
Electricity	CR04	Low	0.04	0	0	0.02	0	0	0.86	0	0	0.07
Fuel Oil	CR04	Low	0	0	0	0	0	0	1	0	0	0
Natural Gas	CR04	Low	0.43	0	0	0	0	0	0.53	0	0	0.04
None	CR04	Low	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR04	Low	0.07	0	0	0	0	0	0.84	0	0	0.09
Propane	CR04	Low	0	0	0	0.16	0	0	0.84	0	0	0
Electricity	CR04	Medium	0	0.04	0	0	0.02	0	0	0.86	0	0.07
Fuel Oil	CR04	Medium	0	0	0	0	0	0	0	1	0	0
Natural Gas	CR04	Medium	0	0.43	0	0	0	0	0	0.53	0	0.04
None	CR04	Medium	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR04	Medium	0	0.07	0	0	0	0	0	0.84	0	0.09
Propane	CR04	Medium	0	0	0	0	0.16	0	0	0.84	0	0
Electricity	CR04	High	0	0	0.04	0	0	0.02	0	0	0.86	0.07
Fuel Oil	CR04	High	0	0	0	0	0	0	0	0	1	0
Natural Gas	CR04	High	0	0	0.43	0	0	0	0	0	0.53	0.04
None	CR04	High	0	0	0	0	0	0	0	0	0	1
Other Fuel	CR04	High	0	0	0.07	0	0	0	0	0	0.84	0.09
Propane	CR04	High	0	0	0	0	0	0.16	0	0	0.84	0
Electricity	CR05	Average	0	0.01	0	0	0	0	0	0.76	0	0.23
Fuel Oil	CR05	Average	0	0	0	0	0	0	0	0	0	1
Natural Gas	CR05	Average	0	0.12	0	0	0	0	0	0.83	0	0.04
None	CR05	Average	0	0	0	0	0	0	0	1	0	0
Other Fuel	CR05	Average	0	0	0	0	0.23	0	0	0.77	0	0
Propane	CR05	Average	0	0	0	0	0	0	0	1	0	0
Electricity	CR05	Low	0.01	0	0	0	0	0	0.76	0	0	0.23
Fuel Oil	CR05	Low	0	0	0	0	0	0	0	0	0	1
Natural Gas	CR05	Low	0.12	0	0	0	0	0	0.83	0	0	0.04
None	CR05	Low	0	0	0	0	0	0	1	0	0	0
Other Fuel	CR05	Low	0	0	0	0.23	0	0	0.77	0	0	0
Propane	CR05	Low	0	0	0	0	0	0	1	0	0	0
Electricity	CR05	Medium	0	0.01	0	0	0	0	0	0.76	0	0.23
Fuel Oil	CR05	Medium	0	0	0	0	0	0	0	0	0	1
Natural Gas	CR05	Medium	0	0.12	0	0	0	0	0	0.83	0	0.04
None	CR05	Medium	0	0	0	0	0	0	0	1	0	0
Other Fuel	CR05	Medium	0	0	0	0	0.23	0	0	0.77	0	0
Propane	CR05	Medium	0	0	0	0	0	0	0	1	0	0
Electricity	CR05	High	0	0	0.01	0	0	0	0	0	0.76	0.23
Fuel Oil	CR05	High	0	0	0	0	0	0	0	0	0	1
Natural Gas	CR05	High	0	0	0.12	0	0	0	0	0	0.83	0.04
None	CR05	High	0	0	0	0	0	0	0	0	1	0
Other Fuel	CR05	High	0	0	0	0	0	0.23	0	0	0.77	0
Propane	CR05	High	0	0	0	0	0	0	0	0	1	0
Electricity	CR06	Average	0	0	0	0	0.01	0	0	0.95	0	0.04
