Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2+	Count	Weight
<1950	0-1499	0.685862	0.314138	593.000000	5642881.196520
<1950	1500-2499	0.305593	0.694407	450.000000	4207616.559670
<1950	2500-3499	0.105376	0.894624	193.000000	1767455.926580
<1950	3500+	0.099933	0.900067	109.000000	1013195.558900
1950s	0-1499	0.898441	0.101559	520.000000	4704980.718990
1950s	1500-2499	0.643462	0.356538	434.000000	4078571.526650
1950s	2500-3499	0.402976	0.597024	109.000000	1046418.083940
1950s	3500+	0.454946	0.545054	57.000000	510967.971536
1960s	0-1499	0.892286	0.107714	399.000000	3677143.824000
1960s	1500-2499	0.745704	0.254296	353.000000	3212853.732280
1960s	2500-3499	0.565040	0.434960	119.000000	1104859.163710
1960s	3500+	0.371003	0.628997	76.000000	696651.587576
1970s	0-1499	0.912612	0.087388	389.000000	3453731.729080
1970s	1500-2499	0.710325	0.289675	463.000000	4007564.169030
1970s	2500-3499	0.474294	0.525706	188.000000	1583212.848080
1970s	3500+	0.317754	0.682246	96.000000	745789.220492
1980s	0-1499	0.829551	0.170449	298.000000	2859601.632180
1980s	1500-2499	0.639790	0.360210	416.000000	3870139.651390
1980s	2500-3499	0.431001	0.568999	182.000000	1620047.602380
1980s	3500+	0.195740	0.804260	101.000000	869421.626930
1990s	0-1499	0.847551	0.152449	246.000000	2447476.300380
1990s	1500-2499	0.655241	0.344759	408.000000	3900135.871190
1990s	2500-3499	0.270271	0.729729	236.000000	2137182.247800
1990s	3500+	0.163661	0.836339	212.000000	1872290.294320
2000s	0-1499	0.838520	0.161480	226.000000	2268849.846900
2000s	1500-2499	0.650490	0.349510	423.000000	3910028.524170
2000s	2500-3499	0.315094	0.684906	243.000000	2229392.980660
2000s	3500+	0.219331	0.780669	264.000000	2397242.798260
