Dependency=Geometry Building Type RECS	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4	Option=5	[For Reference Only] Source Sample Size	[For Reference Only] Source Weight
Single-Family Detached	0-1499	0.047256	0.287438	0.567073	0.088042	0.010190	1048.000000	20636190.673933
Single-Family Detached	1500-2499	0.008904	0.121633	0.574703	0.250260	0.044500	1423.000000	28292605.559420
Single-Family Detached	2500-3499	0.004749	0.049727	0.481719	0.366454	0.097350	766.000000	15168919.392589
Single-Family Detached	3500+	0.000000	0.018406	0.285619	0.473991	0.221984	515.000000	9773325.374246
Created by: recs\2015\tsv_maker.py using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata								
