Dependency=Location Region	Dependency=Vintage	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Count	Weight
CR10	<1950	0.692153	0.117660	0.190188	0.000000	6.000000	77936.272590
CR10	1950s	0.792981	0.207019	0.000000	0.000000	14.000000	170307.602800
CR10	1960s	0.724534	0.141543	0.133923	0.000000	14.000000	142118.273700
CR10	1970s	0.457306	0.436475	0.080652	0.025567	46.000000	495644.347100
CR10	1980s	0.402740	0.378001	0.152903	0.066355	42.000000	498876.024300
CR10	1990s	0.232798	0.489439	0.159307	0.118455	69.000000	761608.608500
CR10	2000s	0.218084	0.591358	0.130008	0.060550	52.000000	552280.192400
CR11	<1950	0.689600	0.231434	0.056297	0.022669	136.000000	1030677.780000
CR11	1950s	0.630839	0.300027	0.047112	0.022023	190.000000	1407645.841000
CR11	1960s	0.543706	0.349945	0.064426	0.041923	158.000000	1182257.670000
CR11	1970s	0.451271	0.427140	0.096198	0.025391	148.000000	1103939.743000
CR11	1980s	0.425651	0.339060	0.180483	0.054806	121.000000	904026.366100
CR11	1990s	0.324639	0.361326	0.161066	0.152969	108.000000	813930.613600
CR11	2000s	0.220001	0.349366	0.167029	0.263604	83.000000	615735.737300
CR02	<1950	0.242702	0.387741	0.208436	0.161120	176.000000	1134613.306000
CR02	1950s	0.291638	0.457764	0.132659	0.117938	100.000000	650287.623000
CR02	1960s	0.216307	0.408640	0.245997	0.129055	71.000000	457502.445900
CR02	1970s	0.156349	0.392195	0.286395	0.165061	106.000000	650638.983400
CR02	1980s	0.228901	0.333953	0.218035	0.219111	78.000000	474232.633500
CR02	1990s	0.079936	0.250007	0.380535	0.289523	82.000000	498247.544900
CR02	2000s	0.091155	0.228956	0.200897	0.478992	75.000000	455096.846400
CR03	<1950	0.330862	0.433855	0.141192	0.094091	170.000000	937366.234300
CR03	1950s	0.323913	0.492022	0.123569	0.060496	98.000000	561211.587400
CR03	1960s	0.337307	0.371365	0.183496	0.107832	57.000000	323759.690200
CR03	1970s	0.251770	0.418750	0.215070	0.114410	59.000000	365100.395700
CR03	1980s	0.185192	0.425295	0.291722	0.097792	58.000000	355737.522000
CR03	1990s	0.295815	0.304949	0.237050	0.162186	46.000000	265373.503300
CR03	2000s	0.198510	0.235626	0.319102	0.246761	47.000000	280569.003400
CR04	<1950	0.334035	0.394184	0.167738	0.104043	201.000000	3175912.255000
CR04	1950s	0.402576	0.445125	0.108989	0.043310	119.000000	1885874.169000
CR04	1960s	0.391043	0.327866	0.150234	0.130857	85.000000	1355079.134000
CR04	1970s	0.280611	0.444294	0.196431	0.078665	73.000000	1169051.064000
CR04	1980s	0.283040	0.381958	0.194222	0.140781	56.000000	941210.557100
CR04	1990s	0.125724	0.372043	0.274105	0.228128	71.000000	1144781.833000
CR04	2000s	0.132632	0.324919	0.174402	0.368047	61.000000	1030832.790000
CR05	<1950	0.674178	0.325822	0.000000	0.000000	32.000000	403337.840900
CR05	1950s	0.243119	0.676824	0.059384	0.020673	26.000000	292676.927300
CR05	1960s	0.318006	0.509558	0.127909	0.044527	15.000000	135881.628200
CR05	1970s	0.253433	0.416909	0.203607	0.126051	86.000000	573854.063200
CR05	1980s	0.228063	0.445845	0.178238	0.147853	51.000000	526527.040700
CR05	1990s	0.175997	0.330121	0.229357	0.264526	51.000000	492764.419000
CR05	2000s	0.266529	0.363500	0.141621	0.228350	42.000000	390742.009100
CR06	<1950	0.647143	0.256588	0.019045	0.077224	40.000000	407336.073400
CR06	1950s	0.520029	0.153655	0.171708	0.154608	28.000000	284195.790100
CR06	1960s	0.481179	0.403637	0.087272	0.027912	42.000000	417558.777200
CR06	1970s	0.554584	0.445416	0.000000	0.000000	35.000000	321497.689400
CR06	1980s	0.415796	0.446883	0.067896	0.069426	41.000000	396413.168000
CR06	1990s	0.511207	0.317251	0.050852	0.120690	49.000000	487417.418200
CR06	2000s	0.261437	0.435106	0.219461	0.083995	51.000000	518638.422000
CR07	<1950	0.322348	0.368656	0.235227	0.073770	172.000000	1883019.325000
CR07	1950s	0.287252	0.433100	0.192000	0.087648	159.000000	1848701.770000
CR07	1960s	0.322364	0.360678	0.208962	0.107996	98.000000	1093304.733000
CR07	1970s	0.295419	0.346491	0.223610	0.134480	70.000000	910003.095500
CR07	1980s	0.194937	0.403318	0.255264	0.146481	53.000000	695937.279600
CR07	1990s	0.086497	0.394009	0.333378	0.186116	47.000000	563774.055000
