Dependency=HVAC System Cooling	Option=0.570 Charge Frac	Option=0.709 Charge Frac	Option=0.848 Charge Frac	Option=0.988 Charge Frac	Option=1.127 Charge Frac	Option=1.266 Charge Frac	Option=1.405 Charge Frac	Option=None
"AC, SEER 8"	0	0	0	0	0	0	0	1
"AC, SEER 10"	0	0	0	0	0	0	0	1
"AC, SEER 13"	0.03883495	0.07281553	0.31067961	0.27669903	0.24757282	0.02427184	0.02912621	0
"AC, SEER 15"	0.03883495	0.07281553	0.31067961	0.27669903	0.24757282	0.02427184	0.02912621	0
"FIXME Room AC, EER 8.5, 20% Conditioned"	0	0	0	0	0	0	0	1
"FIXME Room AC, EER 10.7, 20% Conditioned"	0	0	0	0	0	0	0	1
None	0	0	0	0	0	0	0	1
