Dependency=Location Region	Option=Masonry	Option=WoodStud	sample_count	sample_weight
CR02	0.103162	0.896838	688.000000	4320619.000000
CR03	0.026359	0.973641	535.000000	3089118.000000
CR04	0.293678	0.706322	666.000000	10702742.000000
CR05	0.273526	0.726474	303.000000	2815783.750000
CR06	0.056724	0.943276	226.000000	2329728.000000
CR07	0.197244	0.802756	654.000000	7763908.500000
CR08	0.324338	0.675662	1306.000000	9230493.000000
CR09	0.543335	0.456665	2178.000000	21322996.000000
CR10	0.831038	0.168962	243.000000	2698771.500000
CR11	0.727466	0.272534	944.000000	7058214.000000
