Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
CR02	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR05	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR03	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR04	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR06	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR07	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR08	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR09	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR10	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR11	<1950	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR02	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR05	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR03	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR04	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR06	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR07	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR08	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR09	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR10	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR11	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR02	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR05	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR03	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR04	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR06	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR07	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR08	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR09	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR10	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR11	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR02	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR05	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR03	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR04	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR06	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR07	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR08	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
CR09	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000
