Dependency=Geometry Building Type	Dependency=Bedrooms	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11
Single-Family Detached	0	0.30816879589607704	0.4609213658315505	0.0	0.23090983827237244	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Single-Family Detached	1	0.5798840494710925	0.360762089957479	0.02461835391716919	0.0	0.03473550665425927	0.0	0.0	0.0	0.0	0.0	0.0
Single-Family Detached	2	0.28789756073501976	0.493050920563283	0.11642269533893163	0.06821101155074502	0.026512668800780608	0.002842735930328132	0.0	0.0050624070809119825	0.0	0.0	0.0
Single-Family Detached	3	0.17672005660778978	0.4046874997732573	0.19468136450719592	0.13469530199547278	0.05959189960121814	0.0211148926307872	0.005064735610746761	0.002168504132730112	0.0006071974239396554	0.0	0.0006685477168624317
Single-Family Detached	4	0.0975191239192092	0.32910327913018345	0.18648867882489803	0.21495413384201473	0.10178015019610578	0.04370215228964862	0.017039251652703785	0.006493625618160419	0.0018624910820920443	0.001057113444983927	0.0
Single-Family Detached	5	0.0696294086443069	0.21356411008851273	0.1883459670554153	0.23965308199496488	0.1372139650733731	0.07513647960025452	0.04331555893538098	0.030899000879016893	0.0	0.0022424277287745667	0.0
Single-Family Detached	6	0.02845768666740571	0.25597811861197706	0.06465504975509981	0.23190888995594514	0.14753719674250876	0.13725040985099365	0.1342126484160699	0.0	0.0	0.0	0.0
Single-Family Detached	7	0.0	0.20297290086317876	0.3638745897287175	0.21589299429283296	0.0	0.0	0.21725951511527083	0.0	0.0	0.0	0.0
Single-Family Detached	10	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Created by: recs\2015\tsv_maker.py
