Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Has Pool	Option=None
Mobile Home	CR02	0	1
Mobile Home	CR03	0	1
Mobile Home	CR04	0	1
Mobile Home	CR05	0	1
Mobile Home	CR06	0	1
Mobile Home	CR07	0	1
Mobile Home	CR08	0	1
Mobile Home	CR09	0	1
Mobile Home	CR10	0	1
Mobile Home	CR11	0	1
Multi-Family with 2 - 4 Units	CR02	0	1
Multi-Family with 2 - 4 Units	CR03	0	1
Multi-Family with 2 - 4 Units	CR04	0	1
Multi-Family with 2 - 4 Units	CR05	0	1
Multi-Family with 2 - 4 Units	CR06	0	1
Multi-Family with 2 - 4 Units	CR07	0	1
Multi-Family with 2 - 4 Units	CR08	0	1
Multi-Family with 2 - 4 Units	CR09	0	1
Multi-Family with 2 - 4 Units	CR10	0	1
Multi-Family with 2 - 4 Units	CR11	0	1
Multi-Family with 5+ Units	CR02	0	1
Multi-Family with 5+ Units	CR03	0	1
Multi-Family with 5+ Units	CR04	0	1
Multi-Family with 5+ Units	CR05	0	1
Multi-Family with 5+ Units	CR06	0	1
Multi-Family with 5+ Units	CR07	0	1
Multi-Family with 5+ Units	CR08	0	1
Multi-Family with 5+ Units	CR09	0	1
Multi-Family with 5+ Units	CR10	0	1
Multi-Family with 5+ Units	CR11	0	1
Single-Family Attached	CR02	0.014771	0.985229
Single-Family Attached	CR03	0	1
Single-Family Attached	CR04	0	1
Single-Family Attached	CR05	0	1
Single-Family Attached	CR06	0	1
Single-Family Attached	CR07	0.023598	0.976402
Single-Family Attached	CR08	0.018171	0.981829
Single-Family Attached	CR09	0.014544	0.985456
Single-Family Attached	CR10	0.046176	0.953824
Single-Family Attached	CR11	0.012129	0.987871
Single-Family Detached	CR02	0.051495	0.948505
Single-Family Detached	CR03	0.119015	0.880985
Single-Family Detached	CR04	0.079175	0.920825
Single-Family Detached	CR05	0.025394	0.974606
Single-Family Detached	CR06	0.035908	0.964092
Single-Family Detached	CR07	0.173149	0.826851
Single-Family Detached	CR08	0.080455	0.919545
Single-Family Detached	CR09	0.114957	0.885043
Single-Family Detached	CR10	0.192343	0.807657
Single-Family Detached	CR11	0.167064	0.832936
