Dependency=Clothes Washer Presence	Dependency=Usage Level	Option=None	"Option=Standard, 80% Usage"	"Option=Standard, 100% Usage"	"Option=Standard, 120% Usage"	"Option=EnergyStar, 80% Usage"	"Option=EnergyStar, 100% Usage"	"Option=EnergyStar, 120% Usage"
None	Low	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
None	Medium	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
None	High	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
None	Average	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Yes	Low	0.000000	0.350000	0.000000	0.000000	0.650000	0.000000	0.000000
Yes	Medium	0.000000	0.000000	0.350000	0.000000	0.000000	0.650000	0.000000
Yes	High	0.000000	0.000000	0.000000	0.350000	0.000000	0.000000	0.650000
Yes	Average	0.000000	0.000000	0.350000	0.000000	0.000000	0.650000	0.000000
