Dependency=Location	Option=CR02	Option=CR03	Option=CR04	Option=CR05	Option=CR06	Option=CR07	Option=CR08	Option=CR09	Option=CR10	Option=CR11
WA_Seattle-Tacoma.Intl.AP.727930	0	0	0	0	1	0	0	0	0	0
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0	0	0	0	0	0	0	1	0	0
CO_Boulder-Broomfield-Jefferson.County.AP.724699	0	0	0	1	0	0	0	0	0	0
AZ_Tucson.Intl.AP.722740	0	0	0	0	0	0	0	0	1	0
NY_New.York-J.F.Kennedy.Intl.AP.744860	0	0	0	0	0	1	0	0	0	0
CA_San.Diego-Lindbergh.Field.722900	0	0	0	0	0	0	0	0	0	1
FL_Orlando.Intl.AP.722050	0	0	0	0	0	0	0	1	0	0
NM_Albuquerque.Intl.AP.723650	0	0	0	0	0	0	0	0	1	0
NY_Buffalo-Greater.Buffalo.Intl.AP.725280	0	0	0	0	0	1	0	0	0	0
TX_El.Paso.Intl.AP.722700	0	0	0	0	0	0	0	1	0	0
MN_Rochester.Intl.AP.726440	1	0	0	0	0	0	0	0	0	0
MN_International.Falls.Intl.AP.727470	1	0	0	0	0	0	0	0	0	0
MT_Great.Falls.Intl.AP.727750	0	0	0	1	0	0	0	0	0	0
WA_Quillayute.State.AP.727970	0	0	0	0	1	0	0	0	0	0
